Unnamed: 0,unique_participant,האם דבר מסוים התרחש בניסוי בכל מספר צעדים קבוע?,האם יש לך שאלות כלליות או הערות על הניסוי?,"האם לדעתך הייתה חוקיות מסוימת ששלטה בקפיצת העיגולים? אם כן, מה היא הייתה?",האם לדעתך הייתה חוקיות נוספת ששלטה בהבזקים הלבנים?,"האם שמת לב לכך שלעתים העיגולים ""קפצו"" ממקומם? ",האם שמת לב לכך שלעתים העיגולים הבזיקו בלבן?,מה היה הקשר בין הבזקים האלה ובין תגובותיך?,מה לדעתך הייתה מטרת הניסוי?,מה לדעתך הייתה מטרתה של הקפיצה?
20,312:2022-07-12 20:16:44.428,הרגיש שהיו דפוסים מסוימים לצבעים שחזרו על עצמם בסדר קבוע,טיפה ארוך מידי כסגמנט אחד אולי שווה לפצל לשני שלבים או לשנות צבעים כדי למנוע שיעמום,לא שמתי לב לחוקיות מסוימת,הרגיש שמהירות התגובה השפיעה על ההבזקים,כן,כן,לא הרגשתי השפעה מיוחדת,לבדוק מה משפיע על זמן התגובה ויכולת זיהוי ופיתוח דפוסים,להסיח את דעתי ולשבש יכולת גיבוש דפוסים
21,313:2022-07-19 19:16:54.069,כן,לא,הייתה חוקיות אך לא התעמקתי בה,כן ,כן,  ,    ,לבדוק איך לומדים מתוך ניסיון וחזרתיות על פעולה,לבלבל
22,31489:2023-07-03 19:55:30.415,היה נדמה לי שכן,לא,לא שמתי לב,לא שהצלחתי לשים לב מעבר למיקומים השונים על המסך,כן,כן ,זה גרם לי להתרכז יותר ופחות לטעות,מעניין לדעת,לבלבל אולי
23,314:2022-07-12 21:24:03.582,לא,עניין האחוזים וכמה זמן נשאר היה מבלבל לא הרגשתי שהיה רצי,לא,הרגשתי שזה רנדומאלי,כן,כן,לא שמתי לב,מהירות תגובה,לגרום לי להסתכל על העמודה אליה הולך הכדור
24,315:2022-07-12 23:09:03.124,לא שמתי לב לכך,תודה רבה,לסמן מהיכן ירד הכדור הבא,מהירות התגובה,כן,כן  ,בכל פעם שהספקתי ללחוץ על המקש בזמן הכדור זז הצידה והיה הבזק,לראות את זמן התגובה של האנשים כאשר ישנן הסחות דעת,לסמן מהיכן ירד הכדור הבא
25,316:2022-07-12 18:22:31.137,לא יודע,לא,לדעתי לא הייתה,לא יודע,כן,כן,לא הבחנתי בקשר כזה,לבדוק האם אני מזהה את ההבזקים,לא יודע
26,317:2022-07-12 16:25:17.976,לא הראה לי,לא,לא הייתה לדעתי,לא שמתי לב שהיו הבזקים,כן,  ,לא יודע,ריכוז,להוסיך עיניין
27,318:2022-07-12 14:25:15.459,לא,לא,הייתה חוקיות נוספת שהיא כאשר יש עיגולים כמה פעמים על אותה עמודה אז העיגולים קופצים,לא,כן,כן,כשצדקתי הם פעלו,לבדוק האם אנחנו שמים לב לדברים אחרים שקורים במהלך ריכוז בדבר אחד,לבלבל אותי
28,319:2022-07-12 17:11:40.572,לא שמתי לב,לא,לא יודעת,לא,כן,כן,ככל שהתגובה הייתה מהירה יותר ההבזק היה יותר חזק,לבדוק את הריכוז שלי בעיגולים כשלמטה מוצג האחוז של הניסוי שיסיח את הדעת,לבלבל אותי
29,320:2022-07-12 12:43:19.277,אולי השתנה האחוז התקדמות בניסוי,לא,לא הצלחתי להבין,הראה את המקום שבו לחצתי זמן תגובה,כן, כן,ההבזק הופיע בכל פעם שלחצתי נכון,לא הצלחתי להבין,לא הצלחתי להבין
30,321:2022-07-12 11:32:17.589,חזרתיות מסויימת,מה הייתה מטרת הניסוי,לא שמתי לב,לא שמתי לב,כן,כן ,שמתי לב להופעת העיגול ולחצתי ,לבדוק קשב לאורך זמן ותשומת לב לשינויים,לבלבל
31,322:2022-07-12 11:52:20.331,התחיל רצפ שונה של כדורים,לא,שינוי סדרות כדי לא להתרגל,ההבזק הזיז את הכדור עמודה ליד,כן,כן ,כל פעם שעניתי היה הבזק,לבדוק ערנות עם ביצוע מטלה קבוע,לבלבל את העין לגבי מיקום הכדור
32,323:2022-07-12 21:23:52.058,על כל טעות הוא חזר כמה פעמים,אולי צריך להדגש שגימרים וטיפסטים לא מתאימים לניסוי,חזרה של כל אחד כמה פעמים נותן סיכוי למידה יותר וטעות פחות,לא שמתי לב שהם קימים בכלל,לא,לא,לא שמתי לב,למידה,אולי לשבש מחשבה
33,324:2022-07-25 14:15:33.873,קפיצות,לא,לא,כן של סדר וצבעים,לא,כן,מהירות וזמן תגובה,לבדוק קשב וריכוז,לבדוק האם יש קשב וריכוז וחוקיות מסויימת
34,325:2022-07-12 17:11:20.400,לא נראה לי,תודה רבה,לא,לא,כן,כן,כשלחצתי את האות הנכונה זה הבזיק לבן,לבדוק מהירות תגובה,לבלבל
35,327:2022-07-12 17:29:01.645,לא ששמתי לב,לא אבל בהצלחה,לא חושבת שהיה חוקיות,לא ראיתי בזקים,כן,לא,לא יודעת לא ראיתי בזקים,הערכת השפעת זמן על ריכוז ויכולת הצלחה,להסיך את הדעת
36,32869:2022-07-12 09:09:58.373,לא,לא,לא,לא,כן,כן,לא היה קשר,לבדוק קשב,לבלבל
37,329:2022-07-12 17:08:25.802,לא שמתי לב,לא,לא יודע,לא יודע,כן,כן,לא בטוח,לא יודע,יודע
38,330:2022-07-18 10:47:55.447,כל כמה זמן יצאו מספר עיגולים מאותה אות אחד אחרי השני,הערה כללי הניסוי קצת משעמם ולאורך זמן גורם ליציאה מריכוז אולי הייתי מקצר אותו קצת או מעלה את האחוזים מהר יותר על כל תשוה נכונה,לא ידוע,מהירות התגובה אולי,כן,כן,שלחצתי על המקש הנכון ,לבדוק מהירות תגובה ולשים לב לשינויים או דפוסים קבועים,לא ידוע
39,332:2022-07-13 12:14:06.259,לא שמתי לב,היה אחלה,לא שמתי לב,לא,כן והרגשתי שזה מבלבל אותי קצת,כן,לא שמתי לב לקשר מסוים,לבדוק האם הקפיצות והעיגולים הלבנים ישפיעו על מידת הטעויות בתור הבא,ליצור בלבול
40,33301:2022-08-14 16:58:00.907,לא,לא,לפי האם התשובה נכונה או לא,לא,כן,כן,הם הופיעו כשצדקתי,לבדוק את תשומת הלב,לא ידוע
41,33322:2023-06-04 21:47:35.266,כן ,לא,כן דיברתי על זה קודם ,חמשה פעמים במקום וחמשה פעמום באקראיות למקום אחר ,כן ,כן בטח,הם מבזיקים רק במידה והתשובה היא נכונה והם מתוכננים שכל חמשה פעמים ברצפ מבזיקים באופן אקראי והחמשה מאחוריהם מבזיקים באותו מקום,לבדוק את זמן התגובה אם זה קבוע ואם לא,אולי זה מסית קשב ומאריך מזמן התגובה
42,33355:2023-03-25 17:36:32.684,לא,לא,לא כל פעם הם קפצו לכיוון שונה,לא,כן,כן,כל פעם שלחצתי על אות נכונה הופיע הבזק,לבדוק תגובה לקפיצות ולהבזקים,לא הבנתי את המטרה
43,333:2022-07-12 17:55:42.263,לא,לא,לא,לא,כן,  כן ,כשלחצתי מהר זה נצבע בלבן כשצדקתי,לראות זמן מהירות,להראות שהם נעלמים
44,33463:2022-10-02 21:04:43.306,לא שמתי לב,לא,לא,לא,כן,כן,לפעמים הם גרמו לי ללחוץ אחרת בפעם שאחרי,למצוא חוקיויות שונות בקפיצת עיגולים וכו,לבלבל אותי
45,334:2022-07-14 10:46:17.699,לא אקראי,לא ,לא ,לא ,כן ,כן,שאני לוחצת נכון הם הופכים ללבן ומפוצצים,מהירות תגובה,לבלבל
46,33574:2022-07-13 13:28:10.375,אותו צבע היה חוזר על עצמו כמה פעמים ברצפ,אני אשמח לדעת את המטרה של הניסוי,לא יודעת,אני הרגשתי כאילו היו מקוונים לאמצע המסך,לא,כן,לא יודעת,אני חושבת שיש לא מה לעשות בתפיסה ובהתקוונות ,לקוון את תסומת הלב שלי למקום הקפיצה
47,33634:2022-08-03 18:33:43.189,לא שמתי לב,לא,לא,לא,כן,כן כשהצלחתי הבזיק וכשלא הצלחתי לא הבזיק,כשהצלחתי הבזיק וכשלא הצלחתי לא הבזיק,לבדוק איך אני אגיב בצעד הבא לפי הצעדים הקודמים,להזיז את הקשב לנקודה  מסוימת במסך
48,337:2022-07-14 11:25:44.328,לא,לא,לא,לא,כן, לא,לא שמתי לב,לראות האם אני אבין את חהוקיות,לנסות לבלבל 
49,338:2022-07-14 16:16:23.543,לא,לא,לא,לא,כן,כן, מהירות,לבדוק ריכוז גבוה,כדי לקבוע מהירות
50,33916:2022-11-14 12:48:23.718,לא,לא,לא,לא ,כן,כן,אני חושבת שהם שמרו עליי יותר מרוכזת,ריכוז ומהירות תגובה,הסחת המבט
51,33937:2022-08-02 12:40:09.990,האחוזים של השלמת הניסוי עלו בכל פעם,אין,שמתי לב אם זה בצד ימין אז קפץ לימים וכך,צד ימין או שמאל ,כן,כן,לא היה קשר,לבדוק קשר בין יד דומינטית וצבעים או אם זה באמצע או בצד,לא הייתה מטרה
52,33991:2023-02-27 10:36:02.101,לא ,לא,לא ,לא ,כן,כן,הופיעו לאחר מתן תשובה נכונה,לבדוק זמן תגובה הנוגע לנקודות הנמצאות במרכז ובפריפריה של טווח הראייה,ללא משמעות מיוחדת
53,339:2022-07-17 13:29:25.027,לא הבחנתי בחוקיות מסוימת,בהצלחה,לא עולה לי תשובה אפשרית מתנצלת,אולי לתת לי מוטיבציה להמשיך כפי שאני עושה,האמת שלא זכור לי,כן,כשצדקתי הם הבזיקו בלבן,לבחון את עירנותי ומשך זמן התגובה שלי ככל שארך הניסוי,אולי לבלבל אותי בבחירה שלי
54,340:2022-07-14 11:53:25.773,לא,לא,לא יודע,לא יודע,כן,כן ,הקשה,לא יודע,מעקב עירנות
55,342:2022-07-14 22:42:26.310,לא שמתי לב,לא,לא שמתי לב,בכל פעם שעניתי תשובה נכונה הם הופיעו,כן,כן ,כשלחצתי נכון על התשובה הם הופיעו,לא יודעת,להטעות את הנבדק 
56,34399:2022-11-20 12:32:29.255,לא שמתי לב,לא,לא יודעת,מהירות,ען,כן ,מהירות,מהירות,לרמז על הצבע הבא
57,343:2022-07-16 20:31:37.374,לא ששמתי לב,לא תודה רבה,לא,לא,כן,כן,זה לא עזר במשהו חשבתי שזה מסמן איפה יופיע הכדור הבא,לבדוק האם שינויים כמו אור או הבזק משפיעים על מהירות התגובה,לבלבל
58,345:2022-07-14 19:46:22.209,שבלונות היו בעצם את  אותו סדר העיגולים שנפלו לדעתי,לא,העיגול הבא שעלה לשם קפץ העיגול הלבן,העיגול הבא שנפל,כן, כן,מעט בלבלו את תגובותיי,לבדוק מעקב אחר חזרתיות,לבלבל
59,346:2022-07-17 12:12:43.537,לא יודע,לא,למטה והצידה,למטה והצידה,כן,כן,למטה והצידה,מהירות תגובה והסחות דעת,לבדוק אם זה משפיע על התגובה הבאה שלי
60,34735:2022-09-17 12:41:44.848,לא שמתי לב,היה ממש נחמד,זמנים,אולי מבחינת זמני הופעה,לא,לא,לא ראיתי הבזקים,לבדוק אם אנחנו מנחשים את הצבעים שיבואו תוך כדי הניסוי,לגרום לטעות בצבעים הבאים
61,347:2022-07-17 19:43:42.771,לא,לא,לא יודעת,כן ההבזקים זזו הצידה,כן,כן,הופיעו אחרי כשניה מתגובתי,לבדוק קשב,לבלבל
62,348:2022-07-17 16:48:01.397,לא שמתי לב,לא,לא,לא,כן, כן,מידת הצלחה,לבדוק יכולות זיהוי בשני הידיים,לא יודע
63,34981:2022-07-24 15:10:30.879,לא יודעת אם זה התרחש בכל מספר צעדים קבוע אבל כן כל פעם בה הופיעו עיגוליים במקום אחד כמה פעמים ברציפות,מהלך הניסוי היה קצת ארוך מדי לדעתי התחלתי קצת להיות עייפה לקראת הסיום,לא יודעת,לא יודעת ,כן,כן,ההבזקים הופע ישר אחרי התגובה שלי למיקום העיגול והם הופיעו ליד העיגול אבל במיקום קצת אחר,אולי המטרה הייתה לבדוק איך ואם בכלל לומדים אנשים לבצע מטלה עם הסחת דעת ואם משתפרים בהתעלמות מההסחה,להסב את הקשב סוג של להפריע בביצוע המטלה
64,349:2022-07-18 16:20:09.479,לא,לא,לפי המהירות תגובה שלי,אולי,כן,לא,לא היה,לבדוק מהירות תגובה,לתפוס את העין
65,35023:2023-03-07 16:17:52.346,לא חושב,לא,לא יודע,לפעמים היה האור באותו כיוון של הקדור ולפעמים שמאלה או ימינה,כן,כן,לא יודע,לא יודע,לא יודע
66,350:2022-08-13 20:08:57.312,לא שמתי לב,לא,לא יודעת,לא,לא, כן   ,כשמגיבים נכון אז נהיה הבזק לבן,לא יודעת,לא יודעת
67,35107:2022-12-06 15:56:34.622,לא שמתי לב,לא,לא,לא,כן,כן ,לא היה קשר,לבדוק קשה וריכוז,לבלבל 
68,351:2022-07-22 11:35:52.815,לא ראיתי,לא,לא שמתי לב,כשהגיע ממש למטה,כן, כן,מהירות התגובה,בדיקת קשר עין יד או מהירות תגובה של נבדק,לא יודעת
69,35272:2022-07-14 17:17:06.279,לא שמתי לב,לעשות הפסקה קצרה בזמן הלחיצות על האותיות ,בלחיצה על אות די ואס לדעתי,בחלק מהמקרים הם לא הופיעו באותה השורה אז אני חושבת שיש חוקיות נוספת,כן,כן ,כל פעם שלחצתי על האות הנכונה ובזמן הופיעו הבזקים,לא יודעת ,אולי זמן תגובה 
70,352:2022-07-26 20:45:10.176,הייתה חזרתיות של 3  פעמים על אותו צבע,לא,מהגובה ממנו היה הכדור,אולי מהירות התגובה,כן, כן ,חשבתי שזו הכוונה לכיוון ממנו יגיע העיגול הבא אבל זה היה הסחת דעת שבכיקר הפריעה לי להתרכז,מהירות תגובה כתוצאה מהסחת דעת,להפנות את תשומת ליבי לאחד הכיוונים גם אם זה לא הכיוון שממנו יגיע הכדור הבא
71,35353:2022-07-11 16:16:36.933,לא שזכור לי,לא,לא,לא,כן,כן,עזרו לי ללחוץ מהר יותר,לבדוק מהירות תגובה לצבעים והבזקים,הסחת דעת
72,353:2022-07-23 22:55:23.638,לא,ניסוי  מאתגר למוח,אני חושבת לפי המהירות תגובה,לא,כן,כך,לא,ריכוז התמקדות מיקוד המוח בפעולה פשוטה אך מבלבלת,אולי מהירות
73,35428:2022-08-18 10:29:12.256,לפעמים היה רצפיות של סגול,לא,חא,לא,כן,כן ,לא היה הבדל,בחינת מהירות תגובה,להסיח את הדעת
74,354:2022-07-22 17:35:56.440,לא שמתי לב,לא,לא יודעת,לא,כן,כן,כן,לבדוק ריכוז ותשומת לב  לפרטים קטנים לאורך זמן,לבדוק את הריכוז 
75,35509:2022-08-15 11:28:45.706,לא שמתי לב ,לא,לא שמתי לב לחוקיות,לא שמתי לב אם כן,כן,כן,הם גרמו לי להתבלבל בניסיון שלאחריהם,לבדוק קואורדינציה,להוציא מריכוז
76,35581:2022-11-26 16:20:44.760,לא,לא,לא חושבת שהיתה,לא,כן,כן ,כשלקח לי הרבה זמן להגיב ההבזקים הופיעו,בדיקת מהירות תגובה כתלות בהפרעות,להעיר אותי
77,355:2022-07-22 17:16:34.703,לא,לא,משך לחיצה ,כן,כן,כן,הופיעו כאשר התגובה הייתה מהירה ובזמן,ריכוז ולמידה ממשוב,משך לחיצה
78,35602:2022-07-10 20:54:04.340,לא שששמתי לב,לא,לא,לא,כן,כן,מהירות תגובה,מהירות תגובה,לבלבל
79,356:2022-07-22 23:26:20.023,לפעמים האותיות חזרו על עצמן בקצב קבועץ אל אס אל אס,לא,זז הצידה,לא,כן זזו לצד,כן כשלחצתי על המקש העיגול נהיה בלבן,אין קשר,לא יודעת,לבלבל
80,35740:2022-09-22 09:35:44.693,באו כמה עיגולים באותו צבע ברציפות,חבל שלא הייתה הפסקה במהלך הניסוי,לא ראיתי חוקיות בקפיצת העיגולים,     , כן העיגולים קפצו למעלה ומלטה ולצדדים,   ,     ,לא יודע,לבלבל את הנסיין
81,357:2022-07-27 17:38:09.943,לא ,לא,היה סדר לצבעים,כן,כן,לא,לא ,מהירות תגובה ותשומת לב לפרטים,כן
82,35932:2022-11-01 11:21:45.374,לא יודע,ניסוי סיוט,לא הייתה,לא,כן,כן,לא היה קשר,לא יודע,לבלבל
83,359:2022-08-06 23:35:29.123,לא,לא,לא,לא חושבת,נכון,כן ,התשובה נכונה,לבדוק את המהירות של התודעה לנקודות ומהירות התגובה,אם עניתי נכון בפרק זמן קצר הם קפצו ממקומם
84,36115:2023-06-15 10:22:31.463,הרגשתי שהעמודות האמצעיות ירוק כחול היו כבויות לפעמים עד שבוצע מספר מסוים של צעדים או צעדים נכונים,לא,לא,לא,כן ,כן ,לא חושבת שהשפיעו,לא בטוחה אבל אולי לבדוק לאיזה צד מרחבי אנחנו שמים לב יותר טוב,לא חשבתי שהיתה מטרה ספיציפית חשבתי שזה פשוט תקלה ויזואלית
85,36154:2022-08-16 11:01:53.234,לא,לא,לא,לא,כן,  ,כן,לא יודע,כו
86,36199:2022-08-17 01:56:25.847,לא מבין את הכוונה,לא,לא שמתי לב,לא יודע,כן,  לא, לא היה להם אפקט ,לבדוק האם קשב יחולק גם לאספקטים שלא בוקשו בניסוי או האם הקשב במלאו יהיה רק בכיוון של מה מבוקש,לשנות את הציפיה למיקום ההופעה של הכדור בשלב הבא
87,361:2022-07-22 18:11:42.731,העיגול נפל באמצע בדיוק על האות,לא,מהירות התגובה אולי,לדעתי היתה אך אינני יודע לומר מהי,כן,כן,לא היה לי ברור מדוע לפעמים זה הבזיק והעיכול נטה הצידה ולעיתים נפל בול על האות,שימת לב לשינויים ומציאת קשר בין המופעים השונים של העיגולים,אולי עם הקשתי אות שונה//לא נכונה
88,36226:2023-05-28 12:12:08.381,העיגולים מכל הצבעים נפלו בזה אחר זה בסדר ,לא,לא שמתי לב,כל מספר עיגולים הופיע הבזק,כן,כן ,ההבזקים הופיעו כשלחצתי בזמן שהכדור היה באמצע בין הקווים,לבדוק מהירות תגובה ויכולת לשים לב לפרטים קטנים כשהדעה מוסחת ,להראות שהספקתי ללחוץ נכון ובזמן בזמן שהעיגול עוד היה בין הקווים
89,362:2022-07-25 00:20:36.574,לא,לא,לא,לא,כן,כן,לא,מיומנות,מיון
90,363:2022-07-24 22:31:21.251,צבע מסוים לא לקח חלק ,לא,ככל שעניתי נכון כך גדלה תדירות קפיצת העיגולים,כן,כן, כן ,הגבה מהירה יותר גרמה להבזק,לבדוק כיצד ההבזקים משפיעים על הריכוז ועל הבחירה,הסחת דעת
91,36442:2023-03-05 14:33:48.308,לא שמתי לב לזה,לא,לא,אולי תיכנות מראש,כן,כן,לא שמתי לב לקשר,לבדוק זמני תגובה וקשר לפידבקים אמייתים או מזוייפים,לבלבל את הקשב
92,36475:2023-07-12 15:28:20.795,כשלוש פעמים הופיע אותו צבע של עיגול,לא,לא,לא,לא,לא  ,לא מובן,לר ידוע,לא מובן
93,364:2022-07-24 19:33:36.702,לא שמתי לב,לא,לא,לא,כן, כן,זה נלחץ באופן רנדומלי,לראות אם אני מרגישה שיש חוקיות,בשביל לגרום לי לחשוב שאני עשיתי את זה
94,36538:2023-06-22 15:55:25.759,לא שמתי לב,לא,לא לא חושבת אין לי מושג,לא לא חושבת,כן שמתי לב,לא לא שמתי לב לזה,היה קשה להתאים אחד לשני אבל חושבת רוב התגובות שלי נמצאו מתאימות לצבע,לבדוק רמת הריכוז אצל האנשים עם השחות דעת ועד כמה הם מרוכזים בדבר מסויים ומתעלמים מהאחר,השחת דעת מהריכוז אולי שמשהו קופץ ומבקש תשומת לב
95,36556:2023-05-05 14:21:14.675,לא,לא,לא,לא,לא, כן,אין קשר,בדיקת יכולת עירנות,לא יודע
96,365:2022-07-24 14:43:46.824,לא,לא,לא,לא,כן,כן,כשהתגובות היו מהירות היו הבזקים לבנים,לבחון את יכולת הריכוז שלנו,להזיז את העיגולים שהצלחתי בפסילתם
97,36652:2022-10-09 17:56:21.036,מעבר מצד אותיות צמודים לצד השני,לא,לא,בתשובות נכונות ומהירות ,לא,כן,כשהיו תשובות נכונות,מהירות בחשיבה ותנועה,אולי כשהיו תשובות לא נכונות
98,366:2022-07-24 20:02:15.916,לא,לא תודה,לא,לא,כן,כן,שינה את הנכונות של הבחירות שלי בפעם הבאה שהכדור נפל,לבחון אולי קורדינאציה בהתאם למיקום המרחבי,לגרום לי לחשוב שהכפתור שלחצתי עליו ימינה יותר או שמאלה יותר מבחינה מרחבית ממה שהוא בפועל
99,367:2022-07-26 14:33:04.844,לא שמתי לה,לא,לא,לא,כן, כן,תגובות מהירות,להכעיס ולעכוב אחר תגובה קבועה והגורמים לה,הסחה
100,368:2022-07-24 17:18:26.555,לא שמתי לב לכך,היה נחמד מאוד,לא מצאתי חוקיות כזאת,לא מצאתי חוקיות,כן, כן,לא מצאתי קשר,לבדוק זריזות קשר יד עין,להשפיע על הבחירות העתידיות שלי
101,369:2022-07-26 11:12:36.747,לא יודעת,לא,לאיודעצ,כנראה אבל לא שמתי לב,כן,כן ,כלום,ריכוז,להוציא מריכוז
102,37129:2022-07-10 14:47:04.855,כן,לא,חוקיות של לוגיקה ומספרים,כן חוקיות מלאה לגמרי,כן שמתי לב לכך,  כן  ,היה קשר תגובתי ברגע שראיתי את ההבזק עשיתי את הפעולה שביקשו ממני לבצע,המטרה הייתה לבדוק האם יש קשר בין הבזקים מסוימים לתגובות של אנשים בדבר מסויים שקורה מולם,להראות שההבזק הינו חזק מאוד
103,372:2022-07-29 16:52:35.248,לא,לא,כן בהתחלה אדום אחרי זה ורוד אחרי זה ירוק ואחרי זה כחול,לא,כן,כן,מהירות התגובה,מטרת הניסוי הייתה לבדוק מהירות התגובה שלנו ביחס לתזוזת העיגולים בין אם יש הבזק זזים ממקומם והכול,חוסר דיוק בזמן
