Unnamed: 0,participant,Timestamp,מה לדעתך הייתה מטרת הניסוי?,האם לדעתך הייתה חוקיות כלשהי שגרמה לעיגולים להפוך לבנים?,מה לדעתך הייתה מטרת המשולשים הצהובים?,האם תרצה להוסיף משהו בנוגע לניסוי?
15,12,2020/10/08 6:22:11 pm GMT+3,לבדוק למידה של תנועות/ ריכוז,רמז לצעד הבא,מיקוד לאמצע,לא
16,13,2020/10/15 12:42:13 pm GMT+3,אולי לבדוק כיצד גירויים לא צפויים משפיעים על הביצוע שלנו,ניסיתי להבין מה החוקיות אבל לא הצלחתי לעלות עליה,להסיח אותנו ,לא
17,14,2020/10/15 1:34:57 pm GMT+3,בדיקת מהירות תגובה (ראייה ויכולת קוגנטיבית),כאשר היה מענה נכון- עיגול הפך ללבן,"שהנבדק לא יוכל לשמור על רצף, מעין התחלה מחדש",היה נחמד :)
18,15,2020/10/15 3:30:25 pm GMT+3,בדיקת זמן תגובה ביחס לצמידות בין גירויים,כשלחצתי על המיקום הנכון בזמן של כמה שניות בודדות,להפנות קשב למטלה שונה ולבדוק את מהירות התגובה אליה,לא תודה
19,16,2020/10/20 5:02:23 pm GMT+3,בדיקת יכולת תגובה או זמן תגובה כתלות בצבע או באזורים שונים של המוח,לא ששמתי לב אליה אבל מניחה שכן,"איפוס, סימן למעבר אפשרי בין שני זוגות הצבעים",לא
20,17,2020/10/20 5:52:53 pm GMT+3,בדיקת זמן השהייה בין קלט לפלט מוטורי,לא,"לבלבל, מכיוון שאין אחריהם הבזק לבן","הניסוי היה אחלה, אז לא"
21,18,2020/10/20 6:27:23 pm GMT+3,לבחון השפעת תפיסה במרחב באפשרויות שונות,לא הייתה חוקיות,לתת רגיעה למוח לתמרון בין הצבעים והמקומות המיועדים  ,ניסוי מעניין כדי לבחון את ההשפעה הקוגניטיבית של האדם במשימה.
22,19,2020/10/22 1:14:39 pm GMT+3,לבדןק האם העיגול הלבן יכול להוות הפרעה והאטה בתגובה,כל פעם שמצליחים,לגרום לנבדק לא להשתעמם,"העיגולים הלבנים שלא היו אחד לאחד עם העיגולים הצבעוניים הצליחו לשגע אותי
בנוסף היה לי קושי בהתחלה להתרכז כשראיתי את ריטה הנסיינית אבל אחרי זה התרגלתי"
23,20,2020/10/22 1:56:13 pm GMT+3,מהירות תגובה לאורך זמן,אולי ככל שהמהירות הייתה איטית\מהירה יותר,לבדוק ריכוז או מה קורה שיש הפוגה ואיך זה משפיע אחר כך על התגובה,לא :)
24,21,2020/10/22 4:03:02 pm GMT+3,בדיקת זמן תגובה של אנשים לגירויים שמופיעים פתאום,"כן, אולי ככל שזמן התגובה היה קצר יותר אז העיגולים הלבנים הופיעו קרוב יותר לעיגול הצבעוני?",לבדוק שמסתכלים על כל המסך ולא רק על החלק העליון (מאיפה שמופיעים העיגולים),"לא, נחמד מאוד"
25,22,2020/10/27 2:07:10 pm GMT+3,לבדוק יכולות מוטוריות,כן - אולי בהתאם למה שפספסתי בצעד האחרון.,אתנחתא.,היה ממש נחמד.
26,23,2020/10/27 3:01:41 pm GMT+3,בדיקת קשב וריכוז עם גורמים משתנים,מהירות התגובה אולי,יצירת שינויי תפיסתי במהלך המשחק,לא
27,24,2020/10/29 1:31:56 pm GMT+3,קשב לאורך זמן,לא,לא יודעת,לא
28,25,2020/10/29 2:32:19 pm GMT+3,לדעתי מטרת הניסוי הייתה לבדוק תגובות רגשיות למצבי הצלחה וכשלון של תגובות פיזיות,"כאשר הצלחתי ללחוץ על הכפתור המתאים ראשון, הכדורים הפכו ללבנים",לדעתי מטרת המשולשים הצהובים הייתה להוסיף גירוי תגובתי מסוג אחר בכדי למתן מעט איבוד ריכוז כתוצאה מחזרה על אותה פעולה,יש לי הרגשה שהתוצאות שלי הן מתחת לממוצע. אני די גרועה בדברים כאלה אבל זה גם ממש הצחיק אותי משום מה.
29,26,2020/10/29 3:30:28 pm GMT+3,מדידת השפעת אורך המשחק על מהירות התגובה,"כן, כשהספקתי ללחוץ עליהם לפני שהם עברו את חצי הדרך למטה",להסיט את הריכוז מאיזור העיגולים,לא :)
30,27,2020/10/29 4:29:22 pm GMT+3,בדיקת ריכוז\קשב,כן,"להתרכז מחדש במשחק, למנוע סטטיות?",לא
31,28,2020/10/29 5:32:43 pm GMT+3,לזהות יכולות ריכוז לאורך זמן ,אם צדקתי בתשובה עליה לחצתי,להסיח את דעתי כדי שלא אהיה בטוחה אם צדקתי או לא,קצת ארוך 
32,29,2020/10/29 6:40:12 pm GMT+3,להראות קשר בין משחקי מחשב לקשב וריכוז,לא,לבלבל את הדפוס שצריך להשתמש בסימון הצבעים.,מוזיקה הייתה מוסיפה עניין
33,30,2020/11/01 12:34:14 pm GMT+3,"לבדוק את רמת הקשב שלנו, בעיות קשב וריכוז",מהירות התגובה,לראות עד כמה דעתנו מוסחת בזמן שאנחנו מנסים לצפות מתי ואיפה יופיעו כדורים בצבעים שונים.,"לא, תודה"
34,31,2020/11/01 1:28:48 pm GMT+3,בדיקת הידרדרות זמן תגובה של הנבדק ככל שעובר הזמן בו הוא עוסק באותה פעילות ממושכת,לא,מנוחה בין הבדיקות,"ניסוי מאמץ את העיניים, קושי להתרכז לאחר כמה דקות"
35,32,2020/11/02 1:29:00 pm GMT+3,לבדוק מהירות תגובה של יד ימין לעומת יד שמאל,הלחיצה על המקש הנכון גרמה לעיגולים להפוך ללבנים,"מעין הפסקה, לטובת ריכוז",היה אחלה :) בהצלחה!
36,33,2020/11/02 4:23:43 pm GMT+3,לבדוק מהירות תגובה לצבעים מסויימים או לסדר מסויים שבו הם מופיעים,"לפעמים זה הראה את מיקום הלחיצה הבאה, אבל לא תמיד","לתת למוח ולאצבעות הפסקה, לעשות איפוס",לא
37,34,2020/11/03 1:27:14 pm GMT+3,פידבק שונה בלחיצה,"הם הפכו ללבנים בזיהוי נכון אבל המיקום שלהם היה שונה, אולי בזמני תגובה שונים",איפוס,ממש מעניין! תודה רבה.
38,35,2020/11/03 2:27:07 pm GMT+3,בדיקת מהירות תגובה וריכוז למשך זמן ,כאשר היה רצף של לחיצות נכונות,הוצאה מריכוז ,לא
39,36,2020/11/03 3:31:21 pm GMT+3,ניסוי קשב וריכוז,כאשר צדקתי הם הפכו ללבנים לדעתי,לבדיקת ריכוז,לא
40,37,2020/11/03 4:30:59 pm GMT+3,מהירות תגובה,לא שמתי לב,לבלבל מכיוון שהצורה שונה ,לא
41,38,2020/11/03 5:36:05 pm GMT+3,"מהירות תגובה, קשב וריכוז, קורדינציה",לא יודעת אם הייתה חוקיות אבל עיגולים שהפכו ללבנים באותו ציר והיו שהפכו לבנים תוך כדי תזוזה לציר סמוך,"קטיעה של רצף, אלמנט של בלבול ",לא תודה
42,39,2020/11/04 11:28:23 am GMT+3,בדיקת תגובות מוטוריות לשינויים חזותיים,כשלחצתי נכון,בקרה,לא
43,40,2020/11/04 12:29:27 pm GMT+3,לבדוק על איזה צבע אני נוטה לבחור בכל פעם שאני טועה,לא,לאפס את הסדר. להפוך את זה לאינטרוולים,לא
44,41,2020/11/04 1:28:34 pm GMT+3, לבדוק את הקשר בין הצלחה לתגובה הבאה,לא,לשבור רצף,לא
45,42,2020/11/04 2:33:52 pm GMT+3,לראות האם גירויים כמו הלבן הזה אחרי שלחצתי על צבע מסויים משנה החלטה / או האם רצף מסויים משפיע על ההחלטה איזה צבע ללחוץ...,לא,"לבדוק האם יש השפעה ל""ריסט"" של הידיים מבחינת שמאל/ימין על זמן תגובה",לדעתי תוסיפו האם הנבדקים סובלים מהפרעות קשב או לא בהתייחסות שלכם לנתונים :)
46,43,2020/11/05 2:13:15 pm GMT+3,לבדוק קוארדינצייה ביחס לקשב,"כן, אבל אין לי מושג בדיוק איזה",להוציא אולי מהרצף של פעולה אוטמטית וככה לבדוק יותר קוארדינצייה,תודה :)
47,44,2020/11/05 3:03:42 pm GMT+3,"לבדוק תהליכים קוגניטיביים של תפיסת צבעים, עירנות והתמדה","ייתכן, חייב לומר שלא נתתי את תשומת הלב שלי לזה ואני פחות זוכר",להראות שהמוח שלנו מסוגל להניע את האגודלים בצורה יותר טובה מאשר האצבעות,לא אין לי משהו קונקרטי להוסיף
48,45,2020/11/05 4:03:34 pm GMT+3,בדיקת שמירת ריכוז וקשב,"הייתה, איני יודע מה היא, אולי אם לחצתי לפני שעבר את החצי",לבדוק מה קורה כשאין משוב ללחיצה,עוד צבעים
49,46,2020/11/05 4:52:21 pm GMT+3,"לראות איך אני מגיבה כשהמשחק ""לא פייר"", כשהמשוב לא מתקף אותי לפי מה שהקלדתי בפועל.","כן, אם לא טעיתי בהקלדה וישר לחצתי על המקש הנכון- העיגול הפך ללבן",להבדיל בין מקטע למקטע בבדיקה. או לסמן מתי אני בתהליך שיפור (המשולש שינה כיוון באמצע המשחק) ,"אין לי בעיות קשב וריכוז, אבל לקראת הדקות האחרונות היה לי מאוד קשה להתרכז ואיבדתי עניין, מאשר העניין שהיה לי בתחילת הניסוי"
50,47,2020/11/05 5:38:24 pm GMT+3,"בדיקת התמודדות עם אתגר חדש לאורך זמן, השפעות של למידה וגם של התעייפות או שיעמום","כן, הפכו ללבנים ולא זזו הצידה בעיקר אחרי כמה זמן בלי טעויות, אם שמתי לב נכון",לבלבל? לא יודע.,"אולי יהיה נחמד ליידע את המשתתפים מראש בכמה זמן משחק מדובר, לא זכור לי שידעתי כמה זמן זה הולך להיות"
51,48,2020/11/05 7:02:52 pm GMT+3,בחינת קשב וריכוז,לא שמתי לב ,יציאה מריכוז וחזרה אליו,לא
52,49,2020/11/08 12:30:32 pm GMT+3,בדיקת זריזות,כשלוחצים בזמן על המקש הנכון,לבלבל,לא
53,50,2020/11/08 4:29:54 pm GMT+3,לבדוק קשב לאורך זמן ,כן,לבלבל,מעוניין לדעת האם היתה סיבה לרצפים שחזרו על עצמם במהלך הניסוי? מטרתם היתה לבלבל?
54,51,2020/11/09 3:30:07 pm GMT+3,"לבדוק זמן תגובה איך הוא משתנה לאורך זמן, ככל שעובר יותר מתעייפים. אולי קשור לזקנה, אולי קשור גם ליד דומיננטית (בצד שיש פחות טעויות זו היד הדומיננטית) ",לא,לאפס אותנו להחזיר אותנו להיות מרוכזים,לא
56,53,2020/11/09 7:26:51 pm GMT+3,לבדוק האם הבזק של צבע הכדור במקום עם צבע שונה לפני נפילת הכדור ישפיע על זמן התגובה ,לא,רענון,לא
57,54,2020/11/09 8:26:39 pm GMT+3,אין לי מושג,"כאשר עניתי נכונה ע""י הלחצנים הם הפכו לצבע לבן וכטעיתי לא הופיעו עיגולים לבנים",לתת הפוגה לעיניים,לא
58,55,2020/11/10 1:27:22 pm GMT+3,"לבדוק מהירות תגובה, ריכוז לאורך זמן ",כאשר לוחצים וצודקים הם הפכו לבנים ונעלמו,לאפס את הריכוז ,היה כיף :)
59,56,2020/11/10 2:25:04 pm GMT+3,"בחינת מהירות תגובה בין צבעים/ צורות
","לא יודעת
",איפוס וריכוז,לא
60,57,2020/11/10 3:29:40 pm GMT+3,לבדוק השפעות גירויים חיצונים על תפקוד קוגניטיבי,מהירות התגובה,להוות גורם חיצוני ,לא
61,58,2020/11/11 2:31:05 pm GMT+3,בדיקת זמן תגובה תוך כדי בלבול עם הבהוב הכדורים לכיוונים השונים לאחר הלחיצה על המקש,לאחר הלחיצה על המקש המתאים,הפסקה בין מקטעים שונים של הניסוי,היה ממש כיף :)
62,59,2020/11/11 3:25:25 pm GMT+3,לבדוק יכולת תגובה לאורך זמן,לא שמתי לב לחוקיות מסוימת,להפנות את הקשב שלי לגירוי אחר,לא :)
63,60,2020/11/11 6:54:38 pm GMT+3,לבדוק פקודות מהמוח לידיים לאורך זמן,לא,לבדוק קואורדינציה,לא
64,61,2020/11/11 7:31:44 pm GMT+3,"יש כמה אפשרויות, משער שהיכולת להישאר מרוכז לאורך זמן במשימה מונוטונית/ לראות איזה צבע מעורר יותר מעורבות וערנות",משער שכן. חשבתי על זה ולא עליתי על משהו,לתת סוג צבע אחר שהעין לא ראתה וצריכה להסתגל אליו? לעשות סוג של אתחול?,קשה להיות מרוכז לאורך זמן. 
65,62,2020/11/12 1:23:36 pm GMT+3,לבדוק קצב תגובה,סוג של ,להכניס את השחקן לריכוז,"לא , תודה"
66,63,2020/11/12 2:00:23 pm GMT+3,להשוות מהירות תגובה בין שני הצדדים,כל פעם שהצלחתי ללחוץ על האות הנכונה בכמות זמן הקצרה ביותר,ליצור פאוזה כדי שאצא מהרצף ומהריכוז ,"הניסוי ממש נחמד, נסיינית נעימה מאוד :) תיסכל אותי כשלא הצלחתי לפגוע בכמה ברצף, כל פעם שהייתה לי מחשבה רגעית שחלפה לא הצלחתי לפגוע "
67,64,2020/11/12 2:33:01 pm GMT+3,משהו שקשור לתזוזות בעיניים ומוטריקה,אולי איפה הסתכלתי לפני שהקשתי,למקד את הראיה למרכז,לא
68,65,2020/11/12 3:01:47 pm GMT+3,לבדוק מהירות תגובה ונכונות התגובה לפי שינויים קבועים מראש,לא שמתי לב לזה,לבדוק תגובה של שינוי מהרצף הקבוע של 4 אותיות צבעים ועיגולים יורדים למשהו שונה לגמרי,היה מעניין אשמח להשתתף בניסויים עתידיים 
69,66,2020/11/12 3:42:18 pm GMT+3,"לבדוק כמה זמן לוקח למקד את הקשב לאחר שנקודת פיקסציה הופיעה (המשולש הצהוב) ולאחר שנפלו כדורים ממקומות סמוכים. זמן מיקוד הקשב מחדש עפ""י קושי של כל חלק מהמטלה. אולי לבדיקת סיכויים לתאונות דרכים או משהו כזה","כן, כשהצלחתי ""לתפוס"" את הכדורים בזמן ""הנכון"". אם שמתי לב נכון, היו מקרים שהכדור גם זז טיפה לצד והיו מקרים שנשאר במקומו כשהוא לבן. אולי אם הצלחתי לתפוס מהר יותר הם זזו לצד קצת.",כמו מעין הפסקה או זמן למיקוד/מירכוז הקשב מחדש,"ניסוי מאתגר ונחמד, מעייף מעך להיות קשוב ככ הרבה זמן, אבל כנראה שזה מה שבודקים:)"
70,67,2020/11/12 4:52:32 pm GMT+3,לבדוק אם המשולש מאט את התגובות שבאות אחריו,לא שמתי לב למשהו חוץ מזה שהם הופיעו ברגע של לחיצה נכונה,להפריע לתגובות שאחרי,היה כיף! למרות שלפעמים האצבעות שלי לא הקשיבו לי
71,68,2020/11/12 5:26:57 pm GMT+3,לראות אם לאורך זמן אני מבינה את המשימה יותר טוב או מאבדת ריכוז,כן,סימנו חץ למעלה,לא
72,69,2020/11/12 6:37:45 pm GMT+3,"לבדוק את הקשב לצד פעולה מוטורית לאורך זמן
","כשלחצתי על הצבע המתאים, לדעתי כשהתגובה הייתה מהירה העיגול הלבן היה בדיוק אותו המקום של העיגול בצבע, כשהתגובה היתה יותר איטית העיגול הלבן היה במעט באלכסון מהמקום המקורי.",נק פיקציה ,לא
73,70,2020/11/15 1:00:59 pm GMT+3,מוטבציה לבצע את המטלה נכון לאורך זמן,כאשר לחצתי על הכפתור המתאים לעיגול בלי לטעות הוא נהפך ללבן וזוהי החוקיות.,להוריד פוקוס מ4 הכפתורים שאינם הרווח,קשה
74,71,2020/11/15 3:03:06 pm GMT+3,בדיקת זמן תגובה בתנאים שונים - צבע הגירוי או מיקום מרחבי ביחס למוקד הקשב. יתכן שגם תגובה למשולש הצהוב ביחס למקום שבו הייתה המטרה הקודמת.,"התעלמתי מהעיגולים הלבנים. כשלחצתי לפעמים זה העיגול הלבן הופיע על העיגול ולפעמים ליד, זה סתם היה נראה לי כמו באג. לא חשבתי על זה בכלל, אז לא...","או לייצר fixation point או לבחון את זמן התגובה ביחס למרחק מהגירוי הקודם, כלומר שאם לפני זה לחצתי על K כי היה גירוי בצד ימין אז ייקח לי יותר זמן ללחוץ על המשולש או משהו כזה.","היה קשוח. אין מיסוך באמצע, זה ישר מתחיל וכל תפיסת הזמן שלך משגעת אותך על כמה זמן זה יכול להימשך... חוץ מזה, נראה שכשטועים אז הצורה ממשיכה עד למטה ולא נותנת לך ללחוץ, אני מניח שזה בכוונה אבל רושם ליתר ביטחון."
75,72,2020/11/16 1:52:12 pm GMT+3,אין מושג..,בכל דבר יש חוקיות,פאזות,בהצלחה
76,72,2020/11/16 2:27:47 pm GMT+3,ריכוז,כאלה שהצלחתי הפכו ללבנים,עוד אלמנט ,לא
77,73,2020/11/16 2:50:25 pm GMT+3,"למדוד זמן תגובה, ריכוז..",לא שמתי לב לחוקיות,לא יודע,"לא, תודה"
78,74,2020/11/16 4:00:06 pm GMT+3,לבדוק את הדיוק ומהירות התגובה,לא יודעת,בדיקת ערנות וגם גירוי שנועד לבלבל/לשבור שגרה,"אין מה להוסיף
"
79,75,2020/11/16 4:44:15 pm GMT+3,לבדוק ריכוזוקוגניציה,לא יודע,להקשות עלינו,לא
80,76,2020/11/16 5:38:34 pm GMT+3,לבדוק ריכוז והבנת הוראות,כן פעמיים מכל אחד אולי,לשמור על ערנות,"ההוראות בהתחלה היו ממש לא ברורות, חשבתי שצריך ללחוץ רק שמופיע L"
81,77,2020/11/17 12:01:54 pm GMT+3,קשב וריכוז בחושך,שלחצתי בזמן,לגרום לי להסתכל בחלק התחתון של המסך מה גם שהמשולש נשאר באוויר וברגע שנלחץ יוצא כדור בחלק העליון של המסך,המון בהצלחה!!!
82,78,2020/11/17 12:57:46 pm GMT+3,בדיקת ריכוז לאורך זמן,כל פעם שלחצתי במקום הנכון,לחזק את בדיקת הריכוז,לא
83,79,2020/11/17 2:04:15 pm GMT+3,קשב וריכוז,"כן, לחיצה על המקש המתאים",הסחת דעת,לא
84,80,2020/11/17 3:58:41 pm GMT+3,בדיקה קוגניטיבית לאורך זמן והאם מתבצעת למידה והרגלים,כן,"ליצור שבירה של העין ומקום אליו מסתכלים, לא לצפות לאותו דבר","מאוד מעייף, גורם לניקור קל"
85,81,2020/11/17 4:59:35 pm GMT+3,בדיקת ריכוז ומהירות תגובה,זמנים מסוימים,לרענן ולשנות את הסדר,תודה
86,82,2020/11/17 6:03:45 pm GMT+3,"לבדוק זריזות תגובה, את הדרך בה המסרים עוברים והקורלציה עם בין הצבעים לאותיות",כשלחצי נכון הם הפכו ללבנים,לשבור רצף,לא :)
87,83,2020/11/18 5:56:16 pm GMT+3,"בדיקת קשב לאורך זמן (עם קאץ'?)
","חשבתי על זה אבל לא הצלחתי למצוא אותה, חשבתי שאולי העיגול הלבן מחוץ לצדדים מנבא את הצד שממנו יבוא העיגול הבא",עצירה,תודה!
88,84,2020/11/18 6:59:08 pm GMT+3,לבדוק את הבדלי רמות הריכוז לאורך זמן,כשלחצתי על האות הנכונה,להוציא מהמונוטוניות קצת,"לא, תודה :)"
90,86,2020/11/19 3:23:48 pm GMT+3,"לבדוק את הבעות הפנים בתחילת הניסוי במקרה של טעות ולקראת מהלך וסוף הניסוי אם התגובות השתנו. ובנוסף, האם אנו שמים לב לדפוס התנהגות האותיות ופועלים לפי הדפוס או שמים לב לשינוי.",בעת שלחצנו את הלחצן הנכון.,להעיד על עצירת חוקיות כלשהי.,לא.
91,87,2020/11/19 4:23:06 pm GMT+3,לראות את הירידה בערנות במשך הזמן,חוקיות שלא עליתי עליה,לבלבל אותי ,לא
92,88,2020/11/23 12:57:27 pm GMT+3,לבדוק ניבוי תוצאות אפשריות ,לא,לבדוק תגובה כשיש פחות לחץ,לא
93,89,2020/11/24 2:02:16 pm GMT+3,"לבדוק תפקוד מהירות תגובה לאורך זמן, בתלות של צבעים מיקומים.",לפי המהירות שבה לחצתי עליהם,לספק הפסקה כלשהי בין רצפים,לא
94,90,2020/11/25 1:26:21 pm GMT+3,זמן תגובה של המוח,ככל שלוחצים מהר יותר,להסיח את הרצף ולהזיז את הידים,לא
95,91,2020/11/25 2:29:03 pm GMT+3,לבדוק דרכי חשיבה/ תגובת המוח,כל פעם שהייתה תשובה נכונה במהירות כלשהי,לעשות רווח,"כן, הייתי שמחה אם היה שעון לסיום המשחק.. קצת הטרידה אותי המחשבה של כמה זמן עוד צריך להיות מרוכזים"
96,92,2020/11/26 1:29:38 pm GMT+3,בידקת קורדינצייה,לא,בדיקת עירנות,לא
97,93,2020/11/26 3:28:29 pm GMT+3,השפעה של תבניות חוזרות על הביצוע,כן,חציצה בין כל תבנית ,לא
98,94,2020/11/26 3:39:46 pm GMT+3,זמן תגובה,לא,בחינת ריכוז צדדי,באופן אישי היה לי יותר קל להתרכז בעיגולים החיצוניים מאשר בפנימיים 
99,95,2020/11/26 4:40:52 pm GMT+3,"לבדוק את השפעת העיגול הלבן-אפרסקי (שמופיע לאחר שלוחצים על המקש הנכון) על יכולת ההתמקדות
","מענה מהיר ונכון (למען האמת לא התייחסתי לחוקיות, פשוט לסיבת הקיום שלהם)","""הפסקת רענון"" ברצף הכדורים או בלבול ",היה נחמד :)
100,96,2020/11/29 11:31:02 am GMT+3,"לבדוק מהירות תגובה, אולי לבחון את ההשפעה של התנועה של הכדורים אחרי שהצלחתי ""לתפוס"" אותם (לפעמים עצרו בנטייה לצד מסוים ולפעמים לא)","כן, אני חושבת שהיא הושפעה ממתי לחצתי ואם לחצתי על מקש לא נכון לפני שלחצתי על המקש הנכון","לנטרל את הלחיצות, להוסיף גורם שנמצא באמצע ",לא
101,97,2020/11/29 4:08:21 pm GMT+3,לבדוק את הקשר בין צבעים מסוימים ליכולת הצלחה,לא,להוות מעין הפסקה לחידוש הריכוז,לא
102,98,2020/12/01 1:33:54 pm GMT+3,לבדוק יכולות מוטוריות ,כל פעם שצדקתי ?,מנוחה,לא
103,99,2020/12/01 3:22:56 pm GMT+3,לבדוק ריכוז לאורך זמן,"לקראת הסוף הייתה חוקיות, ובמשולשים הייתה חוקיות","""לאפס"" את הריכוז",לא
104,100,2020/12/02 3:42:02 pm GMT+3,קשר בין עיבוד קוגנטיבי למהירות תגובה,לא ששמתי לב אליה,להקשות,לא
105,101,2020/12/02 4:30:14 pm GMT+3,לבחון הפניית קשב,"כן, אם לוחצים עליהם בזמן לפני שהם עוברים נקודה מסויימת",ליצור מעין מפצל שיפצל את הקשב מלהתרכז רק בכדורים,לא 
106,102,2020/12/03 3:26:00 pm GMT+3,לבדוק את רמת התגובה ,כשלוחצים נכון על המקש בהתאם להוראות,לאפס או להתחיל את החוקיות מחדש , היה נחמד
107,103,2020/12/03 5:22:49 pm GMT+3,לראות את זמן תגובתי כל פעם שכדור ירד,לא,להוציא אותי מריכוז,לא
108,104,2020/12/03 6:40:05 pm GMT+3,בדיקת ריכוז לאורך זמן,לא,לבדוק עירנות,לא
109,105,2020/12/10 3:48:12 pm GMT+3,לבחון מהירות תגובה,אולי הרגע שבו לחצתי,לפקס אותי קצת יותר,לא
110,106,2020/12/10 4:27:23 pm GMT+3,"פסיכולוגיה קוגניטיבית, אולי משהו שקשור לריכוז ",כל פעם שלוחצים בצורה נכונה על המקשים הנכונים העיגולים הרלוונטים הופכים לעגולים,להחזיר לריכוז כי המטלה מאוד מונוטונית,:)
