Unnamed: 0,unique_participant,addSomething,debrief,feedbackRegularity,specifyRegularity
22,29:2019_May_14_1154,הדות הלועמ רדחב רוריק ריווא גוזימה,גשומ יל ןיא הזה בלשב,ןכ,ןוכנ ןומזתב תלקדמב םאותה שקמה ץחלנ םא םילוגיעה לש םיקזבה
23,2:2019_May_01_1337,המכ יתישעש תורמל תויועט תןשעל אל ףחדב יתשגרה,תמייוסמ הפוקתל המישמ התוא תא תושעלב סנרלוטה ףס קודבל,אל, אל
24,30:2019_May_15_1507,אל,בשקה הקידב,ןוכנה רותפכה לע יתצחלשכ םעפ לכ,תמדוקה הבושתב יתינע
25,31:2019_May_15_1526,אל,ונושה טורוצה ןומיס לע הטילש יל שיש שיגרמ ינא םאה קודבל ,ןמזב הריהמה הציחלה,ןטינש רטויב ההובגה טוריהמב לוגיעה ןומיס
26,32:2019_May_15_1534,אל,תעדוי אל,תמיוסמ תויקוחל בל יתמש אל,אלש יתינע
27,33:2019_May_15_1546,אל,היציביהניא לש הקידב,אל,הנוכנ הציחל
28,34:2019_May_15_1616,אל,ילוא הבוג וריהמ ,אל,אל
29,35:2019_May_16_1045,אל,בשקו תונריע קודבל ,ןמזב יתצחלשכ קר ןכ, ןושאר ןוכנה לע יתצחלשכ קרו ףוסל ועיגה םהש יינפל יתצחלשכ קר
30,36:2019_May_16_1049,אל, דרויש אבה רודכה םקומי הפיאל בל םימש םא קודבל,ןכ,ןיבהל יתקפסה אלש תויקוח דוע שי .ןימימ היהי וירחא אבה זא ןימי דצב שממ רודכה לשמל םא הלאמש וא הנימי טסומ אוה רודכה לע םיקחולש ירחא
31,37:2019_May_16_1201,אל,הבוגת תוריהמ קודבל,ןבל עצבנ אוה זא לוגיע םיתחהל יתחלצה םא,ןבל היהנ לוגיעה  המתחה תעב
32,38:2019_May_16_1211,אל,תויקוח םיחתפצ םא תוארלו םיטקייבואל הבוגת קודבל,אל,התיהש תבשוח אל
33,39:2019_May_16_1320,אל,תוזירז ידכ ךות זוכיר תקידב,אל,תעדוי אל
34,3:2019_May_01_1535,םילוגיעה לש תויתסה ויה המל,הבוגתב קוידו ןמז,ןכ,יהש לכ תויקוח שי דימתש חינמ .עדוי אל
35,40:2019_May_16_1341,אל,םהלש שקמה לע םיצחולש ירחא םהילא םיזז םילוגיעהש םינוויכל רושקש והשמ,םיאתמה שקמה לע יצחלשכ עבצ וניש םה,םיאתמה שקמה לע יתצחלשכ
36,41:2019_May_19_1614,תוימינפה רשאמ ןיעל יל תוטלוב רתוי ויה תוינוציחה תורושהש,םינוציח םייוריג תעד תוחסה רחאל דוקימ תלוכיו בשק תיינפה,אל,התייה אל
37,42:2019_May_19_1648,אל,תעדוי אל ,שיש יל שיגרה לבא יתאצמ אלו התוא יתשפיח .ןכ, יתיהיז אל
38,43:2019_May_22_1412,אל,הבוגתה תוריהמ לע עבצה תעבשהו זוכירה תגרד קודבל,תויקוח תוהזל יתלוכי אל,ןיא
39,44:2019_May_22_1443,אל,זוכירו הדימל קודבל ,אל,אל
40,45:2019_May_22_1620,אל,שלושמה ומכ יופצ אל יוריג ןתינהב הבוגת תעפשה,ןבלל ךפוה אוה ןמזב לוגיעה לע םיצחול רשאכ,ןמזב לוגיעה לע םיצחולש
41,46:2019_May_23_1037,החלצהב,בשק קודבל,אל,תויקוח התייהש שגרוה אל
42,47:2019_May_23_1116,אל, .זוכיר קודבל .תונריע קודבל בוהצה שלושמה ךרד וא יתוא לבלבמ בוהצה שלושמה םא קודבלו הבוגת תוריהמ קודבל ,בל יתמש אל,יתינע אל
43,48:2019_May_23_1240,אל,הבוגת תוריהמ,ןכ,ןבלל הנתשה עבצה הציחלה עגרב
44,49:2019_May_23_1242,אל,הבוגת תוריהמ תניחב,םהילע יתצחלש רחאל םעבצ תא וניש,םעבצ תא םינשמ םה ןמזב םיתחמ ינאש עגרב
45,4:2019_May_01_1822,אל, ופוסל יוסינ תליחת ןיב לדבה שי םאהו הבוגת ןמז תקידב,םילוגיעה לש םעבצל בל יתמש אל,תמיוסמ תויקוח התייהש יתינע אל
46,50:2019_May_23_1250,אל,םיוסמ ןמז קרפ רחאל תמיוסמ הדוקנב בשקה תמר תא וא זוכירה תמר תא קודבל,ירמגל תילמודנר התייה הריחה ייניעב איהששלכ תויקוח התייה אל,תויקוח התייה אל
47,51:2019_May_23_1420,אל,םינוש םייוריגל תובוגת קודבל,אל,התייה אל
48,52:2019_May_23_1540,אל,םישלושמהמ תעדה תחסה תורמל םילוגיע םיתחהל רשפא םאה קודבל,ןבלל ךפה אוה לוגיעל םיאתמה רותפכה לע יתצחל רשאכ .ןכ,ןבלל הנתשה לוגיעה עבצ הנוכנ הציחל יתצחל רשאכ
49,53:2019_May_23_1550,אל,תיתעונת הטילקל דע תילאוזיו הטילק תועבצא העונת תבוגת קודבל,ןכ,בוהבה היה הטמל עיגה לוגיעהש ינפל םיאתמה רותפכה לע יתצחלשכ
50,54:2019_May_23_1628,אל,חומה לש השיפתה תוריהמ תא קודבל,אל,תויקוח התייה אל
51,55:2019_May_23_1649,אל,תרושקתב תוערפהב יוסינ,אל,היה אלש תבשוח
52,56:2019_May_23_1656,.יוסינל עגונב והשמ ףיסוהל םיצור םתא םאה,דיו ןיע תייצנידרואוק,אל,אל
53,57:2019_May_23_1834,אל,זוכיר לע הרימשו הבוגת תוריהמ קודבל,רהמ קיפסמ םיאתמה שקמה לע יצחלשכ,רהמ קיפסמ םיאתמה שקמה לע יצחלשכ עבצ יוניש
54,58:2019_May_23_1907,אל,השקה תוריהמ קודבל,אל,ןיא
55,59:2019_May_23_1923,אל,ירוטומ ילאזיו רשק, תבשוח אל,אל
56,5:2019_May_02_1452,שלושמה תעפוה וא םיעבצה רדס לע עיפשה אל הז לבא םינוש תומוקמב ויה םיקזבהש בל יתמש .םיחונ אל הבשי יאנת,עדוי אל,אל,ןיא
57,60:2019_May_26_1126,אל,זוכירו תועבצאב הטילש,אל,ץ
58,61:2019_May_26_1559,אל,ךסמה לע םייניע תזוזת,אל,התייה אל
59,62:2019_May_26_1602,אל,עדוי אל,ןכ,טננימודה דיב םודאה לע תוציחל יתדספהש ללגב ךכ שיגרמ ינא  ןיפולחל וא /םודאה לע תוציחל ןיבו לוחכהו לוגסה רודכה לע הפוצר תוציחל תומכ ןיב רשק היה
60,63:2019_May_26_1608,תונרעו זוכיר ךירצמ,הבוגתה תוריהמ,ןבלל ךפה לוגיעה ןוכנה שקמה לע תשקה רשאכ,המאתהב הנימי םעפ הלאמש םעפ זזו ןבלל ךפוה לוגיעה
61,64:2019_May_26_1628,אל,הבוגת תוריהמ קודבל,אל,ילמודנר היה הז יתעדל
62,65:2019_May_27_1112,תובישח ךכל יתסחיי אל ךא םמוקממ םיזז םילוגיעה םיתיעלש םיוסמ בלשב בל יתמש,םילוגיעה ומכ בהביה אלש שלושמל הבוגתב תויועטה רפסמב יוניש שי םאה קודבל,רחא שקמ לע םדוק תועטב יתצחל אל רמולכ אל וא ןוכנ יתשקה םאה,הנוכנ הבוגת
63,66:2019_May_27_1114,אל,זוכיר,אל,תויקוח התיה אל
64,67:2019_May_27_1321,לבלבמ שלושמ,הבוגת תוריהמ קודבל,אל,אל
65,68:2019_May_27_1544,אל,הבוגת תוריהמו בשק קודבל,אל,התייה אל
66,69:2019_May_28_1051,אל,הבוגת תוריהמ קודבל,ןבלל ךפהנ אוה ןוכנה עבצה לע םיצחולש םעפ לכ,הרורב אל תויקוחה
67,6:2019_May_02_1639,אל,הבוגת ןמז ךרוא קודבל,אל,אל
68,6:2019_May_06_1520,םידרמן םימשמ ףייעמ םיידיל םוקמ ןיאש חנ אל תצק,יוריגל הבוגתה תא קודבל ,יהשלכ תויקוחל בל יתמש אל,אל
69,70:2019_May_28_1133,אל,תועבצאב השוחתל םאתהב הבוגת ןמז ,אל,אל
70,71:2019_May_28_1310,אל,חל תחת הבוגת ןמז קודבל ,הציחל רחאל םידדצל םילוגיעה תודונת,םייוסמ דצל וזז תודוקנה םיתיעל הנוכנ הציחל ירחא
71,72:2019_May_28_1429,אל,זוכיר תקידב,אל, 
72,73:2019_May_29_1336,אל,תמדוק הלטמב יתרצי ינאו ןכתייש םיילאמודנר םייוריג תעפוה לש סופד ההזמ ינא םאה ןוחבל,יל םירכומ םהש בשוח ינא ןכל יתישעש תמדוק הלטממ רכוז ינאו ןכתייש םיסופד ויה לבא תויקוח יתשגרה אל,תמדוקה הלטמב יתרציש םיסופדה
73,74:2019_May_29_1531,אל,ץחל יבצמב הדימע,םוקמה ותואמ אצי וירחא רודכה םימעפל רודכ יתספספ רשאכ,םוקמ ותואמ אצי וירחא רודכה םיוסמ רודכ יתספספ רשאכ םיתיעל
74,75:2019_May_29_1740,אל,םיוסמ ןוויכל הטונו לפונ אוה רשאכ רודכה ןוויכ יפל היצקארה תא קודבל ,הז תא יתשגרה אל,התייה אל
75,76:2019_May_30_1236,אל,דוקפת לע תועיפשמ תעד תוחסה דציכ קודבל,ןכ,םישלושמ ויה יתחלצה אל רשאכ ףסונב ןימיל לאמשמ ףצרב םייעפומ םיעבתה לכ ןמז המכ לכש בל יתמש
76,77:2019_May_30_1456,אל,םימצע יוהיז הבוגת תוריהמ,תויקוחל בל יתמש אל,התייה א
77,7:2019_May_05_1056,ףיסוהל המ יל ןיא,ףתתשמה לש זוכירה תמר תקידב,אל,עדוי אל
78,8:2019_May_05_1826,אל,םימצעה תוגהנתהב םייונישל סחיב םינתשמ עוציב יכילהת תוהזל ,בל יתמשש אל,התייהש יתשגרה אל
79,9:2019_May_06_1533,הדות,םייונישל ילש הבוגתה תלוכי תא קודבל,אל,ייניעב תויקוח התייה אל
