Timestamp,מספר נבדק,מה לדעתך הייתה מטרת הניסוי?,האם לדעתך הייתה חוקיות כלשהי שגרמה לעיגולים להפוך לבנים?,האם תרצה להוסיף משהו בנוגע לניסוי?
07/12/2017 11:21,30,שאלה טובה... יכולת תפיסה ותגובה? אולי משהו שקשור להשפעת פידבק על ההצלחה במשחק- לפעמים הכדורים נדלקו באור לבן כשלחצתי עליהם נכונה ולפעמים לא...,"אני חושבת שאחרי שנכשלתי הם יותר נטו להידלק כשעניתי נכון בהמשך... לא ממש חיפשתי בהם חוקיות מסויימת, אבל ייתכן","היה די נחמד:) עשיתי בעבר משהו דומה, אשמח לדעת מה הרציונאל הניסויי שעמד מאחורי כל אחד מהניסויים הללו, והאם הם בדקו דברים זהים או שונים"
07/12/2017 11:41,31,בדיקת ההשפעה של מתן פידבק פעולה על איכות ביצועה ומהירות ביצועה בפעם הבאה,לפי פרקי זמן קבועים,לא
07/12/2017 11:55,32,לבדוק האם הפעולה נעשת אוטומטית עם הזמן,לא,לא
07/12/2017 12:08,33,"לבדוק תגובה מוטורית של האצבעות ביחס לגירוי שמופיע, וכן מהירות תגובה",לא ששמתי לב..,לא :) 
07/12/2017 12:27,34,לבדוק האם הופעת העיגול הכסוף שדומה לכסף מזרזת את זמן התגובה ,לא,לא
07/12/2017 12:41,35,לבחון קשר בין פידבק ויזואלי משתנה ומהירות ודיוק תגובה  ,זמן מוגד מראש וכאשר הלחיצה הייתה במקש הנכון,לא
07/12/2017 13:17,36,בדיקת מהירות תגובה,לא,ניסוי מעניין
07/12/2017 14:03,37,לבדוק תגובות מוטוריות של האצבעות כתגובה לגירוים משתנים,סוג של חוקיות הייתה,כדאי לעשות הפסקה אחת באמצע
10/12/2017 09:03,38,"לבדוק מהירות תגובה, אולי לבדוק קשב מתמשך",לדעתי הייתה חוקיות חלקית לרוב אחרי משולש זה הפך ללבן בלחיצות,לא
10/12/2017 09:47,39,החתמת עצמים,לא,לא
10/12/2017 10:18,40,אולי קשור לקשב?,כן,לא
10/12/2017 11:42,41,לבחון את היכולת לדייק במשימה מורכבת,לא,לא
10/12/2017 11:46,42,לבדוק אם אנחנו מאמינים שאנחנו אלה שגורמים להבהוב,לא,לא
12/12/2017 10:11,43,תשומת לב,לא,לא
12/12/2017 11:39,44,האמת שאין לי מושג,לא,לא
12/12/2017 12:04,45,קשב וריכוז,לא,לא
14/12/2017 11:40,47,לבדוק ריכוז והסתגלות,לא,לא
14/12/2017 12:13,48,"לבדוק מהירות תגובה, והאם הנסיונות הרגישו נכונים על אף שהכדור לא שינה את צבעו ללבן.",לא,לא
14/12/2017 12:36,49,בדיקת יכולות קוגניטיביות,"כן, אבל לא פיענחתי אותה","ניסוי מהנה, מאתגר במובן הטוב."
19/12/2017 11:03,50,מהירות תגובה לגירויים,כן,נחמד
19/12/2017 11:36,51,לבדוק את מהירות תגובה,לא,לא
19/12/2017 11:57,52,בדיקת תגובה למצב שככביכול יש שליטה עליו,לא,לא
20/12/2017 09:21,53,לראות אם האור שמופיע בלחיצה נכונה עוזר לביצוע,לא,לא
20/12/2017 09:37,54,"תפיסת מרחב בעין, מהירות תגובה, מאמץ לאורך זמן",חשבתי שהמקלדת לא טבוה וזה הסיח את דעתי... לחצתי לפעמים פעמיים שלוש,"בשלב מסוים התחלתי להתסכל רק על הצד העליון ממנו יוצא הכדור כדי להגיב מהר יותר... המשולש לפעמים בלבל בזה שבעין, קודם נתפס לי עצם בצד שמאל או ימין וישר הלכתי לכדור אבל זה בעצם היה המשולש... "
20/12/2017 10:27,55,לבדוק מהירות תגובה עם פידבק חזותי אל מול מהירות תגובה ללא פידבק,לא,לא
20/12/2017 10:33,56,לבחון רמות קשב,לא הרגשתי חוקיות,לא
20/12/2017 11:37,57,ללחוץ כמה שיותר מהר ,במידה מסויימת,לא
20/12/2017 12:03,58,לבדוק ריכוז לאורך זמן,"אחרי הופעת המשולש הצהוב היה מספר עיגולים שהפכו ללבנים, ואח""כ כבר לא",לא
24/12/2017 08:47,59,לבדוק האם ישנה חוקיות מסוימת בלחיצות על המקשים,לא,לא
24/12/2017 09:35,60,לבדוק מהירות תגובה,כן,לא
24/12/2017 09:37,61,"תגובה לגירויים גם שאין תמיד חיזוק (כשלא תמיד רואים שהכדור ""התקבל"" כשלחצתי)","לא, לדעתי זה מה שהניסוי בדק",לא
24/12/2017 10:00,62,לבדוק עד כמה התגובה של הנבדק מהירה כשהוא רואה את האובייקט,לא הרגשתי,לא
24/12/2017 10:16,63,לבדוק מהירות תגובה,לא,היה אש
26/12/2017 09:49,64,האן האור המהבהב שנדלק כשלוחצים על הצבע גורם לתגובה מהירה יותר כשצריך ללחוץ על המשולש,לא ששמתי לב היו פעמים שזה היה בהתחלה והיו כשזה היה לקראת לחיצה על רווח,לא
26/12/2017 10:15,65,לבדוק את הקשב ואת האימפולסיביות ,לא,היה יותר נחמד ללחוץ כשהכדורים הפכו ללבנים מאשר כשהם לא שינו את הצבע
26/12/2017 11:44,66,בדיקת ערנות המטופל לגירוי שונה ממה שמרוכזים בו וזמן תגובה,לא,"ניסוי נחמד, מומלץ לעשות הפסקה קטנה באמצע אפילו של כמה שניות.
כי שניה מגרדים באף או משהו וזה משפיע על התוצאות"
26/12/2017 12:13,67,לבדוק האם ההפסקה של המשולש משפרת את הביצועים לאחריה או להפך מוציאה מריכוז,לא,לא
28/12/2017 10:45,68,לבדוק את המהירות שלי,כן אבל לא הצלחתי לעלות עלייה,לא
28/12/2017 10:49,69,"לבחון את רמת הריכוז ו/או הסבלנות של הנבדק. ייתכן גם את רמת העוררות שלו כאשר הוא נדרש למשימה שדורשת ריכוז רב, ושליטה באצבעות עם דיוק מוטורי ","ייתכן, אך לא הבחנתי בכך במהלך הניסוי ","בתחילה חשבתי שאולי המקשים לא עובדים או משהוברמת הלחץ /המוכנות שלי גרמה לעיגול לא להיחתם, אך הבנתי שיש איזשהי מטרה בשלב מסוים . "
28/12/2017 11:16,70,לראות אם החתמתי את הכדור או לא,ייתכן למרות שלא כל הפעמים שהצלחתי ללחוץ על הכפתור הכדורים הפכו ללבנים,היה נחמד מאד.
28/12/2017 11:21,71,לבדוק הריכוז,לא,לא
28/12/2017 11:44,72, ריכוז וזריזות,לא כי לא בכל פעם הפכו ללבנים,מעניין
28/12/2017 11:53,73,"מבדק מוטיבצית הפעולה במשחק כאשר אין תגובה של ""פלאש"" להקשות של הנבדק",לא יודעת,לא
28/12/2017 13:44,74,בדיקת רמת התסכול שלי מאי החתמת / העלמות העיגולים,לא,לא
31/12/2017 09:09,75,בדיקת מהירות התגובה לאורך זמן,לא,לא
02/01/2018 12:07,76,בדיקת קשב,לא,לא
02/01/2018 12:43,77,לבדוק מהירות תגובה בהתאם לצבעים,לא,לא
02/01/2018 13:16,78,לראות אם אנחנו קולטים מתי המושלש יופיע (רצף) וכמה מהר נוכל לקלוט אותו.,"כן ,חוקיות שקשורה למשולש ולמהירות תגובה, היו פעמים שהצלחתי להגיב מהר ונכון וזה לא עשה עיגולים לבנים ואז היה את המושלש.",אין לי מה להוסיף.
04/01/2018 12:11,79,לבדוק מהי רמת המוטיבציה שלי בהתאם לגירויים,לא,לא
04/01/2018 12:45,80,לבדוק אם עוד אלמנט על המסך שאינו קשור למשחק גורם לחוסר ריכוז לאחר מכן,לא שמתי לב,לא
14/01/2018 10:47,81,"לא לגמרי יודעת, אולי קשור לתשומת לב לפרטים ומהירות תגובה",מאמינה שכן,לא
14/01/2018 10:47,82,בדיקת זמן תגובה,לא,לא
14/01/2018 11:11,83,להפוך את המעגלים ללבנים,חשבתי שזה קשור ללחיצה על המקלדת אבל חצי מהזמן זה לא עבד לכן לא,לא
14/01/2018 11:58,84,בדיקת ריכוז,לא,התעניינות במטרת הניסוי
18/01/2018 11:17,85,מטרת הניסוי הייתה לבדוק האם כאשר העיגולים מגיבים ללחיצה או לא מגיבים ללחיצה זה משפיע על הריכוז של הנבדק לשים לב יותר מהר למשולש או פחות מהר.,"לא בטוחה, אולי","ההרגשה שלי הייתה שכשהעיגולים מוארים יש לי יותר ""מוטיבציה"" ללחוץ מהר על הכפתורים של הצבע."
18/01/2018 12:07,86,לבדוק על כמה מהר אני קולטת את הצבעים ולוחצת על המקלדת,לא,לא
23/04/2018 11:22,87,תפיסה של עצם זז ותנועת ידיים בתגובה,"לא
",לא תמיד הלחצנים עבדו או שיכול להיות שבאמת לא לחצתי כמו שצריך
29/04/2018 10:22,88,לבדוק מהירות תגובה,"במקבצים אקראיים, לא חושב שהייתה חוקיות כלשהי",לא
29/04/2018 10:45,89,לבדוק האם האדם ממוצע יכול לשמור על אותה מהירות תגובה של 20 דקות,לא חושב,שיהיה מאתגר ולא משעמם - תוסיפו עוד צבעים ומקשים על המקלדת.
29/04/2018 10:58,90,לבדוק עקביות,לא,לא
29/04/2018 11:59,91,יכולת תגובה וזיהוי,לאחר מספר עיגולים רגילים היו עיגולים שהפכו ללבנים ושוב פעם לאחר אותו מספר,.
02/05/2018 09:47,92,לבדוק קשב וריכוז ו/או הרגלים של המוח,"ניסיתי לחפש, לא מצאתי",לא
02/05/2018 10:07,95,זריזות,לא,לא
02/05/2018 10:56,94,לבדוק את מהירות התגובה של הנבדק בעזרת גירויים  ,כן,הייתה הרגשה שמישהו שולט מכיוון שלפעמים לא הופיע עיגול לבן 
02/05/2018 11:23,93,בדיקת מוטיבציה,לא,לא
02/05/2018 11:43,96,לבדוק אם הפעולה נעשית באופן מכני ,לא,לא
02/05/2018 12:04,97,לבדוק את הערנות שלי בעת הופעת צבע הכדור וכפתור הלחיצה המתאים לצבע הכדור. וערנות כלפי הופעת המשולש,כן,לא
02/05/2018 12:47,98,לבדוק מהירות קליטה,לא,לא
02/05/2018 13:43,99,"לראות אם העובדה שיש סימן על כל חתימה או לא, ישפיע על הביצוע שלי להחתים בזמן",לא,לא
03/05/2018 10:26,100,בדיקת קורדינצית עין-יד לעומת אינסטינקט (לחיצה לפי קורדינציה או לפי תחושה של מה שצריך להילחץ),לא. נראה לי כי זה היה רנדומלי,נראה לי שההפיכה ללבן הייתה אמורה להיות כמעין טקטיקת בילבול לנבחן. לראות האם זה יגרום לנו להיות פחות מרוכזים או מדוייקים
06/05/2018 10:02,101,לבדוק האם תגובות הופכות אוטומטיות ואז קשה לשנות אותם עם צורות אחרות,לא,לא
07/05/2018 09:52,102,בחינת מהירות תגובה כאשר ישנם גירויים תבניתיים וכשיש גירוי יוצא מן הכלל (המשולש),"איני יודע, לא הרגשתי את זה","הניסוי לדעתי בוחן גם יכולת ריכוז לאורך זמן, אם בוחנים את אחוז התשובות הנכונות התחילתו לעומת בסופו"
07/05/2018 10:17,103,לבדחון זמן תגובה או לבדוק אם רציתי שיופיע אור לבן,לא,לא
07/05/2018 10:41,104,"לבדוק את מהירות התגובה
",בהתחלה חשבתי שקאשר אני לוחצת עליהם אבל בסוף הבנתי שזה לא נכון,שהעיגולים לא הפפכו ללבנים כשלחצתי זה היה מתסכל
07/05/2018 10:50,105,בדיקת תגובה מדוייקת ומהירה,לא,חייב ריכוז מלא במסך
07/05/2018 12:23,106,בדיקת ריכוז,לא,לא
07/05/2018 12:55,107,לבדוק כמה מהר אני מגיבה ,לא,לא
10/05/2018 12:16,108,לבדוק כיצד חיזוק והפרעות משפיעים על הביצועים,"לא
",לא
10/05/2018 12:45,109,לבדוק ערנות ויכולת לעשות מספר דברים בו זמנית,אם הצלחתי לפגוע בכדורים אז הם הפכו ללבנים. אבל היו מספר פעמים שגם כאשר בוודאות תפסתי הם לא הפכו ללבנים אז אני לא בטוחה,צריך להיות שלב של אימון 
10/05/2018 12:59,110,"לבדוק את ההשפעה של מתן תגובה ""פידבק"" (אור בוהק) על ביצועים",לא,לא
10/05/2018 13:04,111,"לבדוק תגובה לשינוי, המשולש הצהוב",לא,לא
10/05/2018 13:37,112,לבדוק מהירות תגובה וקשב,כן,כדאי לתת מספר דקות(2) להתנסות לפני שמתחילים כדי לבדוק שהנבדק אכן הבין את ההוראות 
10/05/2018 14:08,112,לראות את מהירות התגובה שלנו למשולש הצהוב ,לא,לא
10/05/2018 14:31,114,לבדוק את הקשר וריכוז של אדם,"כן, אולי לבלבל אנשים",לא
14/05/2018 11:43,115,לבדוק אם הופעת הפידבק של הצבע הלבן מדרבן ללחוץ מהר יותר,לא,ניסיתי ללחוץ מהר ככל האפשר
14/05/2018 12:40,116,לבדוק אם המשולש הצהוב מסיח את דעתינו,לא,לא
14/05/2018 12:52,117,זיהוי אצבע או יד דומיננטית,החוקיות לדעתי היא אם לוחצים על העיגול לפני שמגיע לחצי אז הוא הופך ללבן,לא
14/05/2018 13:22,118,מהירות תגובה עם הפרעה לקצב (המשולש),לא,לא
14/05/2018 13:48,119,"חלק מההחתמות לא עבדו, אני מניח שבכוונה, והמטרה הייתה לבדוק יאוש?",לא,לא חושב ש...
15/05/2018 10:25,120,לבדוק את היכולת לעשות פעולות רבות בהפרש זמן קטן ,לא,לא
15/05/2018 13:20,121,לבדוק את הקשב שלי,כן,קליל ונחמד
17/05/2018 11:54,122,לבדוק מהירות תגובה על-פי צדיות ו/או צבע,לא,לא
21/05/2018 11:17,123,לבדוק את מהירות התגובה,לפי מהירות התגובה אם המהירות מהירה מספיק העיגול נצבע בלבן,לא
24/05/2018 13:22,124,"לבחון האם גירויים שונים משפיעים על המוח יותר מאחרים - למשל ההבהובים.. אולי גם השפעה של צורות שונות או צבעים שונים
",אני מניחה שכן אבל לא שמתי לב למשהו ספציפי,היה קצר וקולע :) יותר אהבתי כשהמטבעות הפכו ללבנים..
24/05/2018 14:23,125,לבדוק השערה לגבי השפעה של פידבקים (העיגולים הלבנים) על מהירות התגובה קוגניטיבית,"הרגשתי שזה היה די אקראי, כלומר גם אחרי שלתחושתי דייקתי, וגם כשפחות דייקתי, העיגולים הופיעו","לא, תודה (:"
24/05/2018 14:34,126,בדיקת תגובה להפתעה,לא,לא
24/05/2018 14:43,127,לבדוק תגובה עם חיזוק ובלי חיזוק (כשהעיגול הופך לבן),"ככל הנראה כן, כי זה תוכנת.",לא
30/05/2018 11:44,128,לבדוק מהירות תגובה והבחנה,לדעתי כן אך לא הצלחתי כל כך להבין מה היא,לא
30/05/2018 12:40,129,לבדוק האם יש הבדל בכמות הפעמים של לחיצה בהתאם לסימון שזה מסמן לי או לא,לא,לא
30/05/2018 13:01,130,לראות איך המשולש הצהוב משפיע על הדיוק או איך כשהעיגולים מבזיקים בלבן משפיעים על הדיוק ,לא,לא
30/05/2018 14:02,131,לבדוק רמת הריכוז,לא,לא
