Unnamed: 0,unique_participant,האם דבר מסוים התרחש בניסוי בכל מספר צעדים קבוע?,האם יש לך שאלות כלליות או הערות על הניסוי?,האם לדעתך הייתה חוקיות נוספת ששלטה בהבזקים הלבנים?,האם שמת לב לכך שלעתים העיגולים הבזיקו בלבן?,מה היה הקשר בין הבזקים האלה ובין תגובותיך?,מה לדעתך הייתה מטרת הניסוי?
10,115.0:2022-06-30 22:47:04.519,אחרי מספר קבוע של הופעת הכדורים ללא הבזקים הופיעו הבזקים בזמן התגובה,לא,ככל שהצלחתי ללחוץ על התו הנכון בזמן הנכון ההבזקים המשיכו להופיע,כן,ההבזקים הופיעו בזמן התגובה שלי,האם הופעת הבזק שמהווה סימן להצלחה גורם לתגובה מהירה יותר בכדורים שבאים לאחר מיכן 
11,116.0:2022-06-30 22:33:45.359,החלפה של הצבעים,אין,לא,כן ,ככל שמהירות התגובה הייתה מהירה יותר,לבדוק את מהירות התגובה בהתאם לשינוי בהבזקים
12,117.0:2022-07-02 21:31:09.719,כנראה שכן אבל לא הצלחתי לספור,לא,לא שמתי לב,כן,כשהיו הבזקים זה גרם לי להגיב יותר מהר אני חושבת וליותר סיפוק כשהצלחתי לתפוס את הכדור,לבדוק אם כשיש הבזקים כלומר פידבק זה גורם ליותר הצלחה במשימה
13,119.0:2022-07-02 14:03:32.182,ההבזים,לא,כל כמה זמן זה קרה,כן,לחצתי נכון וזה הבזיק,לא יודע
14,120.0:2022-07-01 09:02:16.682,כן כל צבע פעם אחד ואז צבע אחד מסויים כמה פעמים עד ששוב התחיל סדר ,לא היה קל דורש ריכוז גבוהה,אחרישהסתיים הסדר וחוקיות אז התחיל הצבע אחד,כן,זה הלך לפי סדר כרונולוגי כל פעם צבע אחר,לזהות האם בן אדם מזהה מה הצבע הפעם וכבר מוכן ללחוץ 
15,121.0:2022-07-03 18:12:46.332,שינוי בהבזקים חזרה על אות מסויימת,לא,כל 10 פעמים היה שינוי 10 הבזקים 10 בלי,כן ,כשיש הבזקים התגובות מהירות יותר וקל לזהות דפוסים,הקשר בין פידבק לבין תגובה מהירה
16,122.0:2022-07-01 15:05:44.513,לא שמתי לב לכך ,שיהיה בהצלחה ,רק מתי נחלץ המקש,כן,לרגע חשבתי שיש לי בעיה במקלדת כשלא היה אור כשלחצתי,לעקוב ללחוץ מהר ולזהות חוקיות 
17,123.0:2022-07-07 17:30:35.373,כן,לא,לא יודע,כן,הקשר הוא הסימן שראיתי וזה בעצם נותן את האות שלי  לזה שהבנתי וראיתי אצ ההבזק,בדיקת מהירות
18,124.0:2022-07-01 14:25:47.985,חזרה על צבע ספציפי,לא תודה,מיקום העיגול לאורך המסך האם קרוב לקו התחתון,כן,הבנתי שאני צודקת בסימון,בדיקה האם משוב ראייתי של עיגול לבן ישפר ביצוע כאשר אין משוב
19,125.0:2022-07-02 21:01:11.886,לא ששמתי לב,לא,לא חושבת,כן,לא היה קשר אבל הייתי יותר בטוחה בתשובתי,לא יודעת 
20,128.0:2022-07-01 15:41:27.566,לא שמתי לב אם הוא היה קבוע אך בהחלט הופיע כל כמה זמן,לא,לא חושבת שהייתה,כן שמתי לב ,ברגע שלחצתי על האות הנכונה היה הבזק,לבדוק את התגובה כאשר אין גירוי חיובי המופיע בעת לחיצה על האות הנכונה
21,130.0:2022-07-01 19:07:24.097,לא,לא,לא,כן,לא היה קשר כלל ,כיצד ההבזקים הלבנים משפיעים על זמן התגובה שלי בלחיצה על המקשים
22,132.0:2022-07-02 19:20:51.221,לפעמים היה רצפ רבוע של אותו הצבע,לא,אני לא יודעת,לא,לא הבחנתי בהבזקים,תפיסה מהירה וריכוז
23,134.0:2022-07-01 16:17:22.420,לא שמתי לב,לא תודה,שרירותי לגמרי, כן,אולי בהתחלה בעיקר ניסיתי ללחוץ יותר בשביל שיהיו ההבזקים ואז הבנתי שזה לא קשור ואני לוחץ סבבה,תהליך למידה כלשהו בהתאם למספר הלחיצות
24,135.0:2022-07-01 16:35:45.981,לא נראה לי,לא,אולי כשעשיתי טעות התחילו להופיע הלבנים,כן,ניסיתי ללחוץ מהר יותר והרגשתי שיש פידבק,לבדוק את התגובה לחיזוקים חיוביים
25,136.0:2022-07-01 17:21:29.299,לא שמתי לב,לא,חמישה הבזקים לבנים ואז חמישה בלי הבזקים וכן הלאה,כן,ההבזקים גרמו לי לרצות להגיב מהר יותר,לבדוק אם ההבזקים הלבנים גורמים להעלאה במוטיבציה ללחוץ
26,138.0:2022-07-02 19:12:44.681,מפעם לפעם הופיעו הבזקים לבנים,לא,לא,  ,פעולה מהירה יותר ,לבדוק את מהירות התגובה במצבים שונים
27,140.0:2022-07-04 12:29:46.638,זה היה נראה לעיתים שקצב ההבזקים הלבנים הוא קבוע כל חמש פעמים,לא,לא,כן,ניסיתי להישאר ממוקד למרות ההבדקים,לבדוק את הקשר בין ההבזקים לבין התגובה
28,141.0:2022-07-03 15:27:23.353,לא היו הבזקים לבנים והעיגול פשוט נפל וכביכול הראה שלא לחצתי,לא,הופיעו פעם בכמה זמן ובחלק מהזמן העיגול פשוט נפל לבד בלי הבזק לבן,כן ,הרגשתי שכאשר יש את הסימן הלבן אני יותר מרוכזת ודרוכה,לראות אם ההבזקים הלבנים עוזרים לנו להיות יותר מרוכזים ולהשתפר כשמקבלים פידבק 
29,142.0:2022-07-04 09:04:46.499,לא חושבת,לא,לא חושבת,כן,הבזקים נתנו לי פידבק וגם גרמו לתגובה מהירה יותר,לבחון זמן תגובה כשיש ואין הבזק
30,143.0:2022-07-07 10:54:11.418,לא,לא,לא, כן ,גרמו לי לא לנסות ללחוץ שוב על המקש,לבדוק האם נהיים מדוייקים יותר כאשר יש אור לבן
31,144.0:2022-07-04 21:48:26.797,לא ספרתי את הצעדים אבל אולי ההבזקים הופיעו והפסיקו כל מספר צעדים קבוע,בהצלחה בניסוי,לא שמתי לב לחוקיות רק לזה שהם באו ברצפ,כן ,כשההבזקים הופיעו חשבתי שהמחשב קלט את הלחיצה שלי וכשהם לא הופיעו ניסיתי ללחוץ חזק יותר,לבדוק מהירות תגובה והשפעת קבלת פידבק מסויים על תגובה נכונה ועל המהירות שלה
32,146.0:2022-07-03 20:57:13.025,לא,לא,מהירות,כן,חשבתי שההבזקים מעידים שהתשובה נכונה לכן שמחתי,לבחון את מהירות התגובה כשיש הבזק וכשאין הבזק
33,147.0:2022-07-03 13:04:25.135,לא,האם המחקר בוחן גם את המשמעות של שמירה על ריכוז והקשר בין זה לבין משוב על התגובה,יכול להיות שהופיעו כאשר היה פרק זמן שפחות התרכזתי,כן,ההבזקים הופיעו לפעמים כאשר לחצתי על הצבעים הנכונים,לבחון מהירות תגובה ותגובה בכלל כאשר יש תגובה ללחיצה וכאשר אין תגובה ללחיצה וכמה משפיע ההבהוב על הריכוז ועל הדרך ביצוע של המשימה
34,148.0:2022-07-04 20:51:51.235,לא שמתי לב למשהו נוספ,לא,כן כל פעם שכן היה טעות אחריו לא הופיעו הבזקים תמיד, כן,הרגשת כישלון כל פעם שלא הופיע הבזק לבן ,לבדוק האם בעקבות זה שלא היו הבזקים הרגשנו שאנחנו לא מצליחים וויתרנו לעצמנו 
35,150.0:2022-07-07 16:49:42.513,ייתכן שכן אבל לא התעסקתי בכך,אשמח לקבל או לדעת כמה עניתי נכון,לא,כן,ברגע שלחצתי על אות המיקום נכונה ההבזק הופיע,מטרת הניסוי לדעתי היא לבדוק אם המשתמש מגיב יותר טוב אם יש תגובה לפעולה שלו
36,151.0:2022-07-07 11:00:13.162,לא שמתי לב למספר צעדים קבוע,לא,אולי היה קשר בין כמות התשובות הנכונות או השגויות למשך הופעת ההבזקים,כן,בלחיצה על המקש הנכון העיגול הפך לבן,לבדוק האם יש שיפור או שינוי בכמות הלחיצות המדוייקות והאם יש קשר למהירות שעונים כשיש את הפידבק של ההבזקים לעומת כשאין אותם ומה ההשפעה שלהם על הלחיצות כשאין הבזקים מיד אחרי שהיו
37,152.0:2022-07-11 12:53:02.299,לא,לא,לא,כן,אין קשר,לא יודעת
38,154.0:2022-07-06 14:30:56.100,לזה לא שמתי לב  אולי באמת זה קרה ולא הצלחתי לבדוק חשבתי שיש בעיה בתוכנה ושהניסוי מקולקל,אם בכוונה היו הבזקים לבנים לפי חוקיות מסויימת אז הכל בסדר אבל אם ההבזקים צריכים להגיע בדיוק אחרי שאני מצליחה אז יש לכם בעיה בתוכנה של הניסוי,כן זה מה שכתבתי קודם,כן ברור ,אין קשר היו הרבה פעמיים שהצלחתי ועדיין העיגול לא הבזיק בלבן ולדעתי זה יהרוס לכם את התשובות,חשבתי שמטרת הניסוי זה לבדוק את מהירות התגובה שלי לפי ההבזקים הלבנים אבל אני רואה שיש מצב שפספתי את מטרת הניסוי
39,155.0:2022-07-11 14:45:28.179,היו הבזקים לבנים או שהעיגולים המשיכו עד למטה,אחוז ההתקדמות בניסוי מעט מסיח,כשטעיתי בלחיצה בחלק של ההבזקים הלבנים לא היה הבזק לבן, כן ,כשהיו הבזקים הרגשתי שהתגובה שלי הייתה מהירה יותר והייתי לחוצה יותר,לבדוק את זמן התגובה כאשר התנאי היה שונה כלומר אם היו הבזקים לבנים והעיגולים נעלמו ברגע שלחצתי או שהעיגולים המשיכו עד למטה ללא קשר לזמן הלחיצה
40,156.0:2022-07-12 11:40:59.014,לא ששמתי לב,לא,לא,כן,נתן יותר בטחון להמשיך בהתחלה חשבתי שלא קלט את התשובה,לבדוק הקשר בין מתן תגובה להצלחה
41,157.0:2022-07-10 14:58:21.687,כן השינוי וההפיכה של ההבזקים הלבנים,לא,הייתה סדרה של הבזקים לבנים ואז סדרה של בלי הבזקים לבנים,כן,כשהיו הבזקים הגבתי יותר במדויק ומהר,לבדוק האם פידבק משפר ריכוז ודיוק
42,158.0:2022-07-10 15:03:13.275,כן,לא,לא,כן,אין קשר,מהירות תגובה
43,159.0:2022-07-10 13:52:33.132,לא,אין,לא, כן,לא,לבדוק ריכוז
44,161.0:2022-07-11 16:13:49.101,לא שמתי לב,לא,לא,לא,לא ברור,תגובות במוח בן הצד הימני לשמאלי
45,162.0:2022-07-11 08:54:35.256,לא ,לא,לא,כן,תגובה טובה יותר,ריכוז
46,163.0:2022-07-10 19:05:53.162,לא ,לא,לא, לא,לא,כלם
47,164.0:2022-07-10 15:02:08.955,כן,לתקן בשאלה הראשונה לכן ,כן,לא ,אחרי שהקשתי על אות הם קפצו,לבדוק אם התגובה שלי השתפרה בעקבות ההבזקים
48,165.0:2022-07-10 17:12:30.204,פעם הבזיק ופעם לא,לא,לא,כן,היה לי ברור יותר אם הצלחתי לעמוד במשימה או לא,לראות אם יש קשר בין רפלקס ומהירות תגובה לבין הויזואליות
49,166.0:2022-07-24 11:27:42.941,לא,לא,לא,כן,אולי מהירות התגובה,בדיקת עירונית תגובה
50,167.0:2022-07-12 17:39:44.905,לא זה נראה היה אקראי לחלוטין,לא ממש,לא חושב שהייתה חוקיות נוספת,  ,כאשר היה הבזק עניתי נכון אך לעיתים עניתי נכון ולא היה הבזק,לראות אם אנחנו מגיבים יותר טוב אחרי חיווי שהשבנו נכון
51,169.0:2022-07-11 14:13:00.761,אני אישית הרגשתי שלפעמים העיגולים המשיכו לעבור למרות שכן לחצתי על המקלדת לתפוס אותם בזמן,האם באמת היו פעמים בהם לא משנה אם אני מצליחה לתפוס או לא היו פעמים שבהם העיגולים ממשיכים הלאה אוטומטית,לא רק מתי שהצלחתי לתפוס , כן ,כל פעם שהצלחתי לתפוס עיגול הוא נהפך לצבע לבן  ,לבדוק מהירות תגובה
52,175.0:2023-08-08 16:03:26.564,ראיתי רק פעם אחת חוקיות כלשהי אבל חוץ מזה כלום אז לא,לא,מעבר לתגובה נכונה בזמן לא,כן שמתי לב,אם הכוונה זה איך הם היו למעני אז הם עזרו לי לדעתי להגיב יותר טוב אבל אם הכוונה זה מה היה תפקידם אז זה היה אישור ביצוע נכון בטווח הזמן המוגדר ממה שאני מבין,אני חושב שהמטרה הייתה לזהות האם ביצועים במשחק משתפרים כשיש תגובה או חיזוק חיובי לביצוע טוב אל מול בלי תגובה או חיזוק
53,177.0:2023-08-09 10:48:16.858,ההבזקים הפסיקו מידי פעם,לא,לא, כ,כשלחצי את האות הנכונה היה הבזק,זריזות ומיומנות
54,181.0:2023-08-09 14:51:23.672,לא,לא,לא,  ,  ,לבדוק את ההבדלים בביצועים כשיש עיגולים לבנית וכשאין
55,23917.0:2022-07-20 08:31:24.332,לא,נהניתי בסך הכל,אקראי לחלוטין,כן ,לא היה קשר,בדיקת מהירות תגובה לגירויים
56,24373.0:2022-07-15 12:25:27.521,לא,לא,לא,כן,אין קשר,השפעת הבזקות בלבן על זמן התגובה והדיוק
57,25030.0:2022-10-07 18:23:40.085,לא שמתי לב למשהו עקבי,לא,לא ששמתי לב,כן ,קשר מקרי בהחלט ולא עקבי,לבדוק האם קיימת השפעה בין תגובותיי בהמשך לבין ההבזקים הלבנים
58,25837.0:2022-06-04 22:03:30.770,לא,לא,לא,  כן ,התאימו,לבדוק אם אני פחות אפקטיבית כשאין לי את העיגולים הלבנים
59,28264.0:2022-06-02 21:41:09.802,הבזקים5 ואחכ 5 ללא הבזק והיעלמות,לא,5 עיגולים עם הבזק ואחכ 5 בלי,כן,ברגע שלחצתי היה הבזק והעיגול נעלם,לשים לב אם יש חוקיות 
60,32167.0:2022-06-26 18:56:40.861,ההחלפה בין המצב בו אני מקבל משוב למצב בו אני לא,לא תודה רבה,לא,כן,כאשר הן הבזיקו קיבלתי משוב וכאשר הן לא אז לא,לבדוק את מידת התפקוד וההצלחה שלי במטלה בה אני מקבל משוב פעיל על הצלחה או כישלון לעומת מטלה בה אני לא מקבל משוב תוך כדי הביצוע
61,32959.0:2022-06-12 18:49:26.508,לא,לא,לא,כן,כאשר הגבתי נכוןלעתים היה הבזק,אולי חשיבה אוטומטית
62,33043.0:2022-06-28 15:00:41.674,מעבר בין הבזקים ללא הבזקים ורצפים שחזרו על עצמם,לא,לא,כן,שמתי לב שהיו מספר פעמים שלאחר שטעיתי ההבזקים כבו או התחילו אבל זה לא קרה בצורה עקבית אחרי כל טעות,האם להבזק שהוא למעשה חיווי על הצלחה או כישלון יש השפעה על זמן התגובה ועל ההצלחה של הנבדק
63,33088.0:2022-06-20 19:27:51.581,לא זוכרת,לא,לא,כן,ריכוז,בדיקת קשב וביטחון עצמי
64,33442.0:2022-06-13 20:49:56.327,לא ששמתי לב,לא,לא,כן,לדעתי רק אם התשובה הייתה נכונה ללא קשר למהירות התגובה וגם זה לא תמיד,לבדוק כיצד פידבק משפיע על זמן התגובה 
65,34024.0:2022-06-14 17:51:30.085,הפסקה של ההבזקים,אין שאלות,לא,כן,לא הרגשתי קשר,ריכוז וערנות
66,34048.0:2022-07-01 16:17:08.214,לא שמתי לב,לא,לא שמתי לב הייתי בטוחה שזה אומר שיש בעיה בחיווטים של המקלדת והלחיצה לא נקלטה,כן,ברגע התגובה היה הבזק,לא יודעת
67,34195.0:2022-06-16 22:15:38.639,כן לפעמים אותו עיגול הופיע הרבה פעמים ברצ,כאשר לא הופיעו עיגולים לבנים התחושה היא כאילו יש לי בעיה במקלדת והתגובות שלי לא נקלטות,לדעתי לא הייתה חוקיות נוספת,שמתי לב שלפעמים העיגולים התחלפו ללבן ולפעמים לא ,כשהגבתי באות הנכונה העיגולים התחלפו ללבן,לבדוק איך התגובות משתנות כשיש משוב בדמות עיגול לבן או כשאין משוב זה
68,34231.0:2022-06-23 13:57:44.723,לא נראה לי,לא,לא רנדומלי,כן שמתי לב וזה היה יותר מהיר כשהבזיקו בלבן,זה כמו גירוי שלדעתי אחוז בטעויות שלי עלה כשהיה הבזק,השפעת גירוי על זמן התגובה 
69,34237.0:2022-06-27 18:16:51.445,הופיעו הנקודות הלבנות,לא,לא,כן,נתן לי בטיחון לענות יותר במהירות,לבדוק אם הנקודות הלבנות גורמות לי ללחוץ מהר יותר
70,34342.0:2022-06-10 22:04:09.811,לא,לא,לא,כן,הרגיש לי שצדקתי כשהעיגולים הבזיקו בלבן,לא ברור
71,34564.0:2022-06-09 11:31:13.896,לא יודעת הייתי מרוכזת מדי במקשים מכדי לספור צעדים,לא,הם לא הופיעו בכל פעם שצדקתי ואני לא יודעת מה החוקיות,כן,הם עזרו לי לראות שלחצתי על המקש הנכון,לבחון ריכוז וחלוקת קשב יחד עם מהירות תגובה של ידיים שונות
72,34591.0:2022-06-15 16:14:37.198,לא,לא,לא,כן,ברגע שהגבתי היה הבזק,לבדוק מהירות תגובה
73,35152.0:2022-06-06 10:32:33.985,לא הבחנתי בכך,לא,לא הצלחתי למצוא חוקיות,כן ,שמחה על שצלחתי ללחוץ נכון,להבין איך אנשים מגיבים כאשר מקבלים משוב וכאשר אינם מקבלים משוב
74,35308.0:2022-06-01 00:45:46.160,לא,לא,לא, כן,לא הרגשתי שהיה ממש קשר,לבדוק האם המשוב גורם לפעילות שונה
75,35440.0:2022-07-23 18:34:56.239,לא,לא,לא,כן,כאשר העיגול הבזיק בלבן לחצתי חזק יותר ומהר יותר,לבדוק את מהירות התגובה בהינתן גירוי מסוים
76,35524.0:2022-06-25 22:31:32.043,לא יודעת,לא,אולי מהירות  הלחיצה או רצ, כן,לחיצה נכונה לעיתים גרמה להבזקים,קשב הקשור בתגמול
77,35677.0:2022-08-22 04:56:37.744,לא,לא,לא,כן,לא יודע,לא יודע
78,35695.0:2022-06-26 20:50:34.143,לא יודע,לא,לא יודע,לא,לא יודע,לא יודע
79,35788.0:2022-06-26 15:11:05.006,לא שמתי לב מריכוז לבצע את הדברים,לא אבל ניסוי מאוד נחמד ,לא ששמתי לב אך כן ראיתי שלא תמיד הופיעו,כן ,כשלחצתי נכון היה הבזק,לבדוק את רמת הריכוז בזמן מטלה
80,35974.0:2023-08-06 12:15:08.023,לא שמתי לב,לא,אני חושבת שכן אבל לא הבנתי מתי כי בחלק מהפעמים לחצתי נכון ולא היה הבזק,   כן,כשלחצתי על המקש הנכון היה הבזק לבן,לראות אם כשיש הבזקים לבנים אני בטוחה יותר בתשובות שלי
81,36067.0:2022-06-18 17:33:38.170,לא,לא,לא,כן,ברגע שהגבתי נהיה הבזק לבן,לבדוק האם ההבזקים מבלבלים
82,36103.0:2022-08-27 18:59:13.459,לא שמתי לב,לא ,לא , כן,כשלחצתי נכון זה הבזיק,לראות איך ההבזקים שמסמלים את זה שעניתי נכון משפרים את הביצועים שלי 
83,36118.0:2022-06-01 17:40:09.995,הפסיקו להבהב,לא,לא,כן,כשצדקתי,לבדוק מוטיביציה לאחר ההבזקים
84,36127.0:2022-06-02 15:36:52.042,לא ששמתי לב,לא,פרקי זמן,כן,כשצדקתי הם נצבעו בלבן לפעמים,לבדוק מהירות תגובה
85,36205.0:2022-06-12 13:37:51.578,כן,לא,לא,כן,אין,הסתגלות
86,36217.0:2023-08-06 14:42:15.788,היו רצפים שחזרו על עצמים לפחות 2 שזיהיתי,לא,אין לי מושג,כן ,לא יודע,לגרום לי להירדם ולבדוק איך הפידבק מההבזקים והאחוזים הנותרים משפיעים על הביצועים שלי
87,36238.0:2022-06-01 17:44:18.822,לא,לא,לא,כן,היה לי יותר קל להגיב אחר כך ,לבדוק קשר בין תגובה לתגמול
88,36241.0:2022-06-02 17:52:58.768,מידי פעם ההבזקים נעלמו וגם בזמן הלחיצה העיגול המשיך ליפול,מה הייתה מטרת הניסוי  ,לא, כן,הם הופיעו בזמן שבו לחצתי,לבדוק מהירות תגובה ויכולת מיון או משהו כזה 
89,36304.0:2022-06-11 21:15:00.232,לא,לא,לא,כן,הם הרגיעו אותי ועזרו לפגוע ביותר כדורים,לבדוק האם נתינת אישרורים לאנשים מייעלת את עבודתם
90,36310.0:2022-06-26 10:23:46.489,לא שמתי לב,כן לפעמים הייתי לוחצת על האות הנכונה בזמן מוקדת ולא הופיע בזקים לבנים,כן,כן,כשהייתי לוחצת בזמן מודדם ועל האות הנחונה היה בזקים,לבדוק מהירות תגובה
91,36313.0:2022-06-13 15:29:17.657,לא ששמתי לב,לא,לא,כן ,הם סימנו מתי הגבתי וזה גרם לי להגיב מהר יותר,לראות השפעה של פידבק על התגובה
92,36448.0:2022-06-01 10:33:37.824,ההבזק הפסיק,לא,לא שמתי לב,כן,כשעניתי נכונה ההבזק קרה,הקשר בין מהירות ודיוק תגובה לצבעים
93,36541.0:2022-07-16 18:59:26.942,לא שמתי לב,לא,לא,כן  ,לפעמים שעשיתי נכון היה גם הבזק,לבדוק הבדל בין מהירות התגובה כשיש משוב על הפעולות שלי 
94,36889.0:2022-07-01 18:03:47.106,כל כמה צעדים היתה התחלפות בין מצב בו יש הבזקים למצב בו אין הבזקים אבל לא שמת ילב בהכרח שזה קרה אחרי מספר צעדים קבוע,בהצלחה,לא ראיתי חוקיות מסוימת,כן,אחרי שלחצתי על האות המתאימה לעיגול היה הבזק וזה נתן לי תחושה שהלחיצה נקלטה,אולי לבדוק את מידת ההצלחה במצב בו יש פידבקים  לפעולה  למשל ההבזק המוצג ומידת ההצלחה במצב בו אין פידבקים לפעולה  כלומר אין הבזק או אינדיקציה שהלחיצה נקלטה והשוואה בין שני מצבים אלו
95,36961.0:2022-06-10 08:58:30.128,לא,לא תודה,כן,כן,היה קשה לי ללחוץ על קיי ו די,לבדוק תפיסת האדם יחסית למרחב
96,36988.0:2022-06-01 10:33:01.245,כן כל 5 צעדים,לא,כל 5 כדורים יש או אין הבזקים,כן,יש 5 הבזקים לבנים ואז 5 בלי הבזקים לבנים וככה זה חוזר חלילה,לבדוק מהירות תגובה
97,37057.0:2022-06-13 17:19:53.008,כן אני לא זוכר כמה,לא,אם היה מספר פעמים של שגיאה הם הופיעו,   , זה היה סימן שעניתי נכון ,לבחון האם הידיעה שצדקתי משפיעה על היכולת הכללית
98,37102.0:2022-09-01 16:46:18.000,כל כמה לבנים הם הספיקו להופיע ,לא,כן,  כן,שהצלחתי,ממש עיצבן אותי שלא הופיעו לבנים חשבתי שמשהו לא בסדר אצלי במקלדת לדעתי השאלה היא למה ההופעה של הלבנים גורמת לנו לחשוב שהצלחנו ואם זה לא מופיע זה אומר שיש בעיה וזה מעצבן
99,37171.0:2022-06-08 21:24:21.681,לא ששמתי לב,אשמח לדעת מה הייתה מטרת המחקר,היה נראה כי כל כמות אחוזים שסיימתי מהניסוי התחילו והפסיקו ההבזקים,כן,כאשר לא היו הבזקים הרגשתי מבולבל יותר,בדיקת תגובה למול שינויים במשחק
100,37303.0:2022-06-30 19:25:44.492,לא,לא,לא, כן,כן,לא יודע
101,37306.0:2022-06-02 09:29:05.359,הניסוי הפסיק לקבל את המקלדת שלי,הניסוי הפסיק לקבל את הנתונים מהמקלדת שלי כל כמה לחיצות האם זה מכוון,לא,כן,כאשר לחצתי העיגולים הבזיקו,ריכוז ובחינה
102,37381.0:2022-07-27 13:30:07.362,לא,לא,לא,כן אבל לפעמים העיגולים לא שינו את צבעם ללבן,כשאלחץ על האותיות המתאימה ישתנה הצבע ללבן,לבדוק את הריכוז של האדם או הנסיין
103,37474.0:2022-06-02 15:01:19.109,לא,לא,היו פעמים שהצלחתי ללחוץ וההבזקים לא הופיעו ככה שכנראה הייתה חוקיות מראש,כן  ,בהתחלה חשבתי שההבזקים מראים כי הצלחתי ללחוץ ,לראות איך ההבזקים משפיעים על התפקוד של הנסיין במשחק
104,37585.0:2022-06-07 19:16:46.579,לא שמתי לב,לא,היו סבבים שהיו הבזקים והיו שלא, כן,חלק מהזמן בו עניתי נכון,לראות אחוזי הצלחה בשיתו פידבק
105,37600.0:2022-06-05 21:02:40.727,כן כל 5,לא,כן היה סדר שכל חמש פעמים שנפל כדור אם צדקתי הכדור הבזיק ובחמש נפילות שאחרי גם אם צדקתי וגם אם לא הכדור לא הבזיק,כן,הם תמיד הופיעו רק כשצדקתי אבל רק ברצ של חמש כדורים כלומר כל פעם שהבזיק לבן זה היה כי לחצתי נכון אבל לא כל פעם שלחצתי נכון הופיע הבזק זה פעל לפי רצפ שבו רק בטווח של החמש האלה התגובה תהיה הבז',לבדוק כיצד התגובה מושפעת מחיזוק חיובי בדמות ההבזק
